### params -i16384 -r32768 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpd48corelb-bst_bronson_2 lpd48corelf-bst-aravind_2 lpd48corelb-bst_tk_2 
#cores  throughput   throughput   throughput   
1       4071170      5689341      5820246      
2       4978178      7986358      7597814      
4       7851907      11414441     11802145     
6       10089311     14516176     15259830     
8       11751956     17581570     17939328     
10      12790642     19969070     20412631     
12      13477690     22508520     23075024     
14      13784100     24554668     24632754     
16      13771191     26275297     26647002     
18      13666343     27777325     27500144     
20      13401555     28676258     28378946     
22      12891695     29327532     28941374     
24      12362808     29518300     29887521     
26      11973078     29804107     29864218     
28      11475946     29882355     30110211     
30      11183358     30056535     30203647     
32      10716961     29477960     30243788     
34      10368425     29696613     30106677     
36      10093172     29597141     29837484     
38      8957693      29533585     28696873     
40      8194308      29279276     28073777     
42      7328932      29390000     27659408     
44      6738906      29417496     27157436     
46      6101008      29189807     26875260     
48      5798525      29208396     26535272     
52      4952540      29027064     26273954     
56      4301134      28912844     25517531     
60      3902599      29075655     24498628     
64      3500048      28707338     24583844     
