### params -i64 -r128 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_gl_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_optik_cache_2 lpdxeon2680lb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       6658099      8997570      8139050      8839584      8352148      11527468     12661275     
2       11904540     9295227      9608667      9736490      14134698     10843118     20331496     
4       13752679     14059668     4095400      8013529      14489691     16595277     17489628     
6       15420417     14349423     3590535      6611678      14797274     18412700     18570596     
8       16807825     15702694     3901051      6858250      16282072     21056482     21097142     
10      17674360     17146739     3706312      6744160      18843810     20848544     23715848     
12      19136648     18909678     3647034      7382042      19587575     22742596     20014718     
14      20060266     17783656     3460428      7296336      19570484     23515278     19242726     
16      21896812     17741632     3423618      7860812      21238964     26428708     18802756     
18      23157244     17462862     3398860      7425545      22319880     25733814     18170935     
20      25834166     17338373     3305912      7984840      22927358     27059138     17761606     
22      24857023     16505037     3449626      7634438      24730864     27779812     16988008     
24      25193005     16568584     3503726      7869454      24818049     28731725     16965194     
26      25406498     16341671     3201614      8106206      25637354     29254826     16604294     
28      26398309     16012203     3170634      8007759      26304627     30203989     16408480     
30      26813561     15691824     3066986      8132966      26381924     30559125     16387383     
32      27529330     15323004     2957434      8208011      27484861     31381630     16495553     
34      28155975     15171858     3191468      8254668      28172520     31081446     16066633     
36      28500095     15145548     2945362      8609747      28480154     32816185     15936030     
38      29437774     14795116     3613102      8622872      29563049     33016597     15967316     
40      30215564     14715446     2699394      8860344      30120894     33587496     16070034     
44      29230995     10612578     19349        8339944      26164526     29743806     9958776      
48      30059019     6898620      30372        8168580      24534074     27381242     6600317      
52      28395892     5074717      29281        8234288      24132020     27215656     4202169      
56      28311487     3561307      21560        7995506      23698423     27745668     2657056      
60      28055212     2543906      7146         8138380      23336120     25958352     1948552      
