### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpd48corelb-bst_bronson_0 lpd48corelf-bst-aravind_0 lpd48corelb-bst_tk_0 
#cores  throughput   throughput   throughput   
1       5542457      8831900      10207989     
2       6151916      9135088      10261757     
4       9365002      12821142     14336650     
6       11720209     16050034     17677462     
8       14006399     19315105     20683506     
10      16058340     22049644     23255517     
12      17984136     24913562     26125150     
14      19525762     27562473     28629729     
16      20834026     29872540     30958441     
18      21610999     32328342     33698648     
20      23265143     34887505     36035255     
22      24991157     36923249     38069450     
24      26245619     39200066     40165012     
26      26154522     41658852     42382094     
28      26263418     43188541     45013255     
30      29022515     45816680     46990640     
32      30001749     47782348     49002890     
34      27885107     49785415     50354771     
36      26370560     51317547     51982074     
38      23743767     49106558     46542552     
40      20051826     48137932     45539497     
42      17058783     47659930     45125200     
44      14792713     47720589     44012476     
46      13820534     47339076     44205333     
48      12425613     47452752     42748645     
52      10491098     46755851     42156802     
56      9335427      46160687     41231813     
60      8389467      44653788     39684586     
64      7523534      43550104     39078133     
