### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_java_optik_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_map_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       18193640     27763768     27607592     18354660     23294900     28936845     
2       29428520     42357776     21059106     27805547     24678264     33601423     
4       49751902     49274904     46681919     46175766     49897911     69319312     
6       71505208     62776182     64682813     61471689     72852531     90536490     
8       94507236     83986955     85350365     87758360     95784055     118413060    
10      109470937    104005906    103081694    98296112     119844662    143196205    
12      131505334    100700608    111984094    116266253    132797913    166467938    
14      150851972    122026250    121591956    133907085    146645994    177802816    
16      160863176    136689189    140236304    150405194    166156188    195859529    
18      170577222    125684988    140959340    162973609    175216905    213867930    
20      180167194    123605960    154009598    174812860    185319285    220114064    
22      181776650    110720152    159652141    179851942    201557726    232866746    
24      180185070    95772202     165316044    194797018    204110914    242830638    
26      156731372    74093080     172588348    198151613    217246307    246607495    
28      142595233    63380784     175294887    204611660    224134940    256385922    
30      136367419    63643592     183329732    212197794    229184833    262914636    
32      119323193    52177198     184965985    218751852    239339083    269261367    
34      102494562    49851030     190893706    223141472    243301544    278731859    
36      99366836     50601173     193989198    226030946    252034553    284241652    
38      94469321     51599899     200469722    238999488    258528695    288995686    
40      92648175     46554859     205323328    244327998    261445642    296285181    
44      61225368     34008790     107503690    198629132    216336372    208874062    
48      59435756     27009904     96043157     181138944    201616148    164704830    
52      48703282     23522705     88700174     164078987    184092382    151747251    
56      45865718     20873760     82623700     143961102    166134424    127452550    
60      40406160     17860159     64466646     131369114    134790006    124155828    
