### params -i512 -r1024 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelb-ll_coupling_gl_0 lpd48corelb-ll_gl_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_lazy_sp_0 lpd48corelb-ll_lazy_orig_0 lpd48corelb-ll_lazy_no_ro_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       1860893      1712156      1870000      1870168      1859848      1863063      
2       1039912      2687014      2691023      2960362      2711809      2785519      
4       620073       3375382      3665600      4966942      4164437      4450282      
6       482662       3249158      4156063      6520314      5162011      5768878      
8       427467       2878980      4311222      7818233      5853104      6545685      
10      398056       2511008      4397761      8824819      6449224      7256958      
12      376240       2243746      4374494      9486377      6802173      7713136      
14      359700       2000774      4310180      10006626     7108328      8176920      
16      340180       1826426      4192728      10289354     7228406      8389529      
18      316402       1689117      3994768      10574408     7450641      8551505      
20      293037       1573189      3781335      10666816     7518651      8611721      
22      271881       1460959      3497911      10663854     7542712      8597144      
24      255884       1409725      3137701      10515153     7522978      8553843      
26      244441       1289714      2817645      10467698     7632336      8642197      
28      234455       1212695      2371445      10466006     7553022      8561623      
30      228882       1137126      2137836      10285484     7602181      8605177      
32      223949       1085610      1899384      10402624     7520760      8523264      
34      223831       1026792      1618478      10196810     7483185      8497216      
36      218653       970890       1468548      10128306     7488917      8415505      
38      213796       896291       1367637      9933419      7451414      8368422      
40      206994       866329       1254504      9872511      7402368      8322146      
42      198604       826044       1188277      9913886      7430654      8298053      
44      190083       758713       1115122      9669579      7410879      8214464      
46      178577       743598       1069152      9640503      7296995      8290206      
48      161445       701377       1018055      9514295      7351169      8286027      
52      2775         12321        992644       9205959      6787332      7925498      
56      2484         9811         995851       8624599      6139812      7269817      
60      2353         9206         1016341      8544782      5431328      6908038      
64      2281         7690         1028036      7957023      4830698      6227042      
