### params -i128 -r256 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lb-ll_coupling_gl_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_lazy_sp_0 lb-ll_lazy_no_ro_0 lb-ll_lazy_orig_0
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       8074970      8070461      8467737      8485586       8443084      8411757     
2       2973823      11068466     9085994      10334588      11749212     9295526     
4       961799       4054953      10530277     18043690      13568598     11541939    
6       986689       4059753      8461941      15883459      14486418     11246592    
8       913138       4314783      8515940      16847573      14539739     11713609    
10      755602       4552108      8018781      17679450      14731057     13550844    
12      736895       4987372      8403389      18742671      16109611     15208266    
14      766832       5658046      8318675      20851171      16958900     15788914    
16      822838       6104374      8453109      22035984      18302753     16490713    
18      871847       6255730      8255610      22868215      19722087     17081259    
20      891390       6385813      8149921      24399343      20731970     18279163    
22      887108       6423690      8444753      25261064      21365340     19146751    
24      876706       6839842      8437951      26456743      22249624     20084183    
26      871717       6308634      8294279      26289756      23089884     20453892    
28      851108       6361745      8402102      27662095      23688658     21384723    
30      841502       6223759      8290924      27623542      24294971     22217933    
32      825781       6359898      8280227      27961262      24633986     21943127    
34      825303       5909366      8205006      28607346      25408583     23133361    
36      797484       5552052      8139829      28773040      25214376     23852061    
38      795363       5718241      7955379      29359877      26001151     23856548    
40      762540       5764117      8080798      29533490      26527012     24564990    
# 44      6331         41395        7591397      26342966      21346352     19416792    
# 48      5502         38130        7451511      21663350      16401480     13136090    
# 52      7883         37019        7330195      16951679      12906962     8573547     
# 56      7339         38260        7160801      13230144      9379407      5846238     
# 60      5939         19571        7027618      8842788       7289769      4147472     
