### params -i256 -r512 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelb-ll_coupling_gl_0 lpd48corelb-ll_gl_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_lazy_sp_0 lpd48corelb-ll_lazy_orig_0 lpd48corelb-ll_lazy_no_ro_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       3486105      3493624      3600413      3596088      3551966      3571231      
2       1532682      4474460      4618228      5749390      4972122      5243992      
4       975496       4879263      5833511      9219042      6983016      7697337      
6       759302       4359143      6005237      10723951     7664712      8734469      
8       689242       3770939      6140412      11824047     7976451      9197618      
10      636379       3290641      6117305      12408977     8074208      9492935      
12      594863       2938541      5868870      12559981     8330948      9849076      
14      565458       2615501      5603745      12681341     8366109      9997938      
16      534660       2421532      5142924      12739408     8541048      9951296      
18      509917       2240646      4692398      12671018     8499578      9928414      
20      496232       2083756      4121061      12612795     8463440      9914709      
22      487630       1947245      3536847      12609493     8511261      9883046      
24      472250       1814727      2872685      12394197     8472820      9807640      
26      453146       1714987      2430308      12401264     8492922      9747509      
28      430802       1616638      2109638      12102956     8426022      9649734      
30      404990       1553662      1854636      11961294     8390704      9622897      
32      388971       1464875      1653720      11951791     8374108      9538486      
34      362363       1400873      1513587      11662384     8249860      9498287      
36      350390       1324805      1405023      11619808     8222617      9384832      
38      331875       1252790      1306101      11449785     8203884      9301915      
40      311275       1197745      1226717      11251342     8205787      9254655      
42      302491       1124086      1156793      11079225     8183224      9260857      
44      283940       1079322      1105954      11026542     8177413      9125923      
46      269405       1034092      1055448      10940318     8120097      9033108      
48      259728       975207       996647       10790141     8094728      9088336      
52      3325         13705        971906       10274362     7446182      8489641      
56      3154         11419        957761       9700820      6525751      8002554      
60      2794         9483         971698       9186257      5518405      6971384      
64      2885         9254         967229       8299176      4560738      6342711      
