### params -i256 -r512 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lb-ll_coupling_gl_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_lazy_sp_0 lpdxeon2680lb-ll_lazy_orig_0 lpdxeon2680lb-ll_lazy_no_ro_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       4583237      4629331      4656870      4663418      4641025      4651129      
2       1709589      1518891      7065469      5799652      5391187      4837841      
4       434891       2061338      7740085      12361497     8905117      10062140     
6       433637       1941198      5733066      11726022     9122260      7879861      
8       515266       2175984      5543729      10227427     7975732      9275048      
10      562259       2446028      5724095      10114368     9285798      9614365      
12      572239       3042939      5449968      11601222     10073370     9919864      
14      547103       3477312      5276744      11992734     10514536     11146227     
16      518980       3653699      5203057      13248252     11001590     11881389     
18      493209       3889085      5124744      13508031     11891972     12834506     
20      481012       3853945      5127675      14019857     12582535     13053205     
22      478811       3898685      4923250      15055737     12970546     13408753     
24      473997       3835677      4995870      15494801     13543364     14153408     
26      471180       3767501      4827762      15791832     13885681     14773884     
28      467955       3566483      4916231      15893253     14110453     14917841     
30      463706       3305225      4805258      15953671     14572529     15143032     
32      455404       3527381      4731134      16127059     14395716     15430644     
34      446168       3401072      4584492      15754253     14675389     15497598     
36      436531       3120514      4548293      16482368     14510827     15672511     
38      431196       3137442      4465121      16526143     14750237     15775238     
40      416522       2739424      4323373      16733379     15184351     15747739     
44      5014         25090        4089477      14975872     13149599     14146465     
48      3249         22802        3989412      13770871     10130120     11812746     
52      4264         21723        3937142      12076086     7596814      9689830      
56      3907         14987        3833673      9778801      5236975      7693874      
60      4222         15955        3818323      7745920      3528650      6134660      
