### params -i128 -r256 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lb-ll_coupling_gl_0 lb-ll_gl_0 lb-ll_optik_gl_0 lb-ll_lazy_sp_0 lb-ll_lazy_no_ro_0  lb-ll_lazy_orig_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       6187167      6184462      6605915      6621588       6522109      6481006     
2       2145320      6415998      7154710      9752238       8365192      7775945     
4       1332611      6019850      8198832      13616681      10269263     8872237     
6       1099143      5034300      7707405      14165723      11092955     8911400     
8       975510       4239468      7531281      14351691      10665686     9133907     
10      905986       3711069      7150596      14409108      10773244     8998450     
12      847508       3325730      6855462      14347157      10825709     8918748     
14      803759       2993400      6308653      14216031      10750631     8994560     
16      769492       2737497      5494305      14116572      10679734     9001188     
18      734701       2540946      4961004      13870886      10575799     8893667     
20      703738       2376821      4077137      13691910      10419000     8852515     
22      681212       2205920      3443371      13614541      10344089     8905409     
24      656628       2095062      2836713      13422962      10287439     8793965     
26      633901       1982784      2463058      13236126      10168735     8746520     
28      607983       1875733      2136565      13179977      10136467     8716314     
30      573829       1800291      1938425      12934673      10030081     8669472     
32      544374       1699086      1765248      12813220      9940000      8624261     
34      516590       1640945      1629524      12673195      9882374      8597724     
36      498350       1558367      1533564      12539412      9783430      8635400     
38      468206       1504484      1440563      12359043      9734739      8567953     
40      448061       1448584      1346459      12145458      9682162      8489058     
42      429078       1396291      1274545      11999286      9562240      8540570     
44      408686       1338132      1248069      11784506      9507766      8426003     
46      401358       1279060      1175587      11761006      9401790      8362198     
48      373421       1243616      1126389      11561771      9386752      8357533     
# 52      4104         18438        1074188      10829109      8454087      7489973     
# 56      4424         12950        1091839      9958778       7722711      6515366     
# 60      3466         12229        1075891      9013887       6786231      5017320     
# 64      2784         11597        1044510      7867015       5594459      4289412     
