### params -i512 -r1024 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lb-ll_coupling_gl_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_lazy_sp_0 lpdxeon2680lb-ll_lazy_orig_0 lpdxeon2680lb-ll_lazy_no_ro_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       2455800      1761085      2094442      2098797      2093989      2096638      
2       223936       668847       1938397      1016393      938745       2267990      
4       240853       1002289      3462063      4289293      3760318      3953327      
6       254821       1313599      3556098      4067879      4543533      3727808      
8       266222       1678129      3171297      4952887      4451249      4614484      
10      297062       1910561      2765709      4752086      4675076      5164777      
12      307295       2173418      3006871      5175448      5113453      5422697      
14      305019       2054369      2807327      6127866      5545622      5924605      
16      294040       1914530      2656790      6440137      6200754      6315783      
18      281726       1856662      2754442      7568592      6658950      6485921      
20      275982       1745146      2632738      7162148      7254575      7296608      
22      266928       1690421      2614237      7864472      7349064      7514392      
24      261462       1642914      2624222      8197171      7506795      8027618      
26      255284       1592665      2558449      8240210      7718285      7940710      
28      253421       1584760      2491738      8276915      8055800      8018384      
30      241564       1492544      2453461      8465553      8004279      8180479      
32      241443       1464804      2378682      8522979      8082108      8172407      
34      234636       1458851      2288413      8343301      8210478      8413943      
36      230741       1452414      2198529      8411852      7894448      8021189      
38      226285       1331851      2129821      8271776      8004869      8357898      
40      222599       1294155      2014274      8469301      8311012      8210399      
44      2389         12806        1881947      7898933      7456948      7779293      
48      2811         16189        1843023      7646690      6356307      6915770      
52      2195         6784         1809583      7243022      5288197      6408898      
56      2080         9035         1773036      6808386      4199421      5731161      
60      2005         8312         1725290      5850421      3240551      4779334      
