### params -i64 -r128 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpd48corelf-ll_harris_opt_0 lpd48corelb-ll_lazy_0 lpd48corelb-ll_gl_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_optik_0 lpd48corelb-ll_optik_cache_0 lpd48corelb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       8345873      10463289     7194438      10513824     9395814      11600363     12314497     
2       9903741      9914071      3476145      7583866      9528430      10419453     10228990     
4       11210961     10658751     3074013      6849661      11152779     12835714     11229643     
6       12342605     11163601     2594652      6442208      11419691     13121681     11939342     
8       12199254     10819029     2194187      5997521      11493115     12965027     11813787     
10      11813342     10444618     1904965      5418693      11405024     13132464     12129522     
12      11866114     10392887     1712078      4747850      11330718     13131892     12104403     
14      11644915     10275217     1558741      4356235      11308705     13129458     12160330     
16      11677121     10116752     1443134      3587130      11031426     12888937     12130437     
18      11363810     9970405      1345454      2837847      11011546     12976260     12292964     
20      11218631     9871989      1268531      2321718      10898549     12850093     12073193     
22      11023074     9742300      1189066      2012611      10829612     12786566     12174746     
24      10897353     9689959      1130366      1640566      10675855     12619696     12233484     
26      10764779     9538084      1087111      1462747      10610280     12525644     12049672     
28      10645611     9461738      1034726      1294855      10492604     12429962     12050639     
30      10545762     9413004      992531       1211883      10406053     12413463     12017097     
32      10376275     9236958      957710       1093030      10377284     12314460     12016922     
34      10341441     9206004      918525       1048780      10267432     12223422     11919074     
36      10189628     9172902      884779       964977       10190404     12087011     11829344     
38      10107938     8991602      856744       932515       10082584     12003304     11837707     
40      10028641     8974194      834563       881464       10035702     11932486     11818069     
42      9936444      8888519      820669       848911       9927198      11822753     11761403     
44      9837979      8860999      791071       813762       9782392      11717736     11754704     
46      9762815      8736788      752453       797125       9768468      11635125     11520660     
48      9812175      8598845      741979       760903       9684114      11607477     11577227     
52      9661015      7641888      8795         750917       8820331      10622418     9908836      
56      9656851      6672894      8103         739095       7984724      9536284      7702162      
60      9883766      5240369      6594         768573       7867035      8531865      6148861      
64      9876714      4406491      5708         755609       7108151      8310873      5007385      
