### params -i1024 -r2048 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_lazy_2 lpd48corelb-ll_gl_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_optik_cache_2 lpd48corelb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       376227       506899       178292       509263       447185       874538       942486       
2       514890       611458       278248       553042       561553       1040837      1130310      
4       862621       1005405      338570       723424       911849       1642112      1814575      
6       1208002      1397329      272927       819523       1273149      2229129      2478165      
8       1556322      1769220      232702       886115       1614775      2761365      3055676      
10      1886589      2114169      212105       940111       1951351      3261999      3620024      
12      2212465      2446276      195804       973152       2277508      3745624      4129575      
14      2513141      2789126      185568       1006058      2588077      4178994      4632937      
16      2820057      3108768      177455       1034463      2874498      4614551      5096718      
18      3111316      3418587      172175       1053028      3170427      4988380      5555277      
20      3380488      3675136      165723       1067561      3453217      5378008      5962783      
22      3644247      3993646      159285       1067156      3682452      5683991      6352256      
24      3910790      4221318      157380       1105491      3955249      6036388      6704608      
26      4123246      4461375      153277       1102194      4229590      6362302      7024718      
28      4373251      4709929      147295       1098731      4468467      6537289      7283132      
30      4521904      4865330      140520       1100250      4607056      6875835      7506381      
32      4720840      5028698      134854       1100441      4815915      7156269      7836406      
34      4907314      5029149      130188       1065791      4925317      7278280      7652834      
36      4910340      5225216      126794       1015396      4931560      7373191      7928230      
38      5023368      5304832      124045       975359       5074100      7203591      8088114      
40      5117519      5336845      121028       956563       5228837      7400357      8165392      
42      5035233      5455987      117052       924460       5156324      7430651      8101387      
44      5190831      5404031      111823       857896       5076914      7420874      7997375      
46      5186132      5383420      108037       852671       5092529      7424225      7996357      
48      5036535      5359588      104922       807198       5079981      7416838      7961214      
52      4781137      4868382      5015         785802       4635377      7029643      7458125      
56      4514538      4448329      3378         728728       4277338      6168411      6742963      
60      4249777      4076476      2939         685858       4153830      5859850      5940600      
64      4030771      3683936      2736         654880       3913547      5651413      5272798      
