### params -i1024 -r2048 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_gl_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_optik_cache_2 lpdxeon2680lb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       210729       228480       158019       231072       231470       469248       449298       
2       203283       220635       223374       206422       210742       255087       314976       
4       430410       462885       304017       397059       469041       927237       933814       
6       770454       806481       297074       518296       798425       1505517      1496185      
8       989187       1059415      277689       563180       1103514      1800734      1920634      
10      1228281      1298423      256324       602296       1271937      2253908      2367335      
12      1410314      1572302      242109       618887       1544381      2569661      2803378      
14      1616213      1765725      229231       627687       1746175      2905552      3324923      
16      1832184      1958036      222080       643203       2003710      3310585      3531926      
18      2044885      2147204      214086       635753       2057675      3456489      3970874      
20      2116932      2341804      207862       639331       2217702      3678825      4389145      
22      2297105      2400834      203196       656133       2309177      3831198      4349946      
24      2419676      2451934      199830       636391       2381244      3968117      4547835      
26      2484438      2548258      196254       613757       2525255      4041101      4627167      
28      2582898      2598875      192557       610349       2525024      4072422      4786925      
30      2595472      2644868      190122       584228       2564682      4190283      4750700      
32      2717183      2680760      188504       576611       2635141      4181253      4861262      
34      2836956      2762362      187611       568918       2729952      4363774      4975552      
36      2904608      2776233      185188       553990       2708712      4381900      4996206      
38      2946241      2788707      181468       547166       2805508      4426237      5136178      
40      3037845      2861865      178708       533401       2836398      4590224      5082184      
44      3007419      2789197      5051         513692       2782065      4532853      5030416      
48      3013736      2695406      2591         509417       2707810      4436215      4629479      
52      2999286      2610654      2516         514423       2722633      4317831      4316429      
56      2991128      2486236      2256         511621       2649585      4306964      4063623      
60      2951217      2334025      2193         511813       2674848      4194302      3623929      
