### params -i1024 -r2048 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpd48corelf-ll_harris_opt_0 lpd48corelb-ll_lazy_0 lpd48corelb-ll_gl_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_optik_0 lpd48corelb-ll_optik_cache_0 lpd48corelb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       659640       887065       526254       887982       770792       1209771      1292860      
2       959990       1171243      772126       981757       1050512      1581099      1640626      
4       1641285      1928415      877651       1178661      1739629      2623465      2642227      
6       2279627      2610580      797723       1216986      2398776      3466133      3542222      
8       2865033      3248483      700089       1241152      2965449      4179950      4326406      
10      3389792      3806208      595942       1243446      3519633      4902017      5050390      
12      3878788      4308599      538910       1251347      4006440      5532557      5670985      
14      4290682      4756050      493123       1240737      4474582      6133702      6235477      
16      4744495      5183090      451172       1213540      4890454      6618469      6716994      
18      5138398      5546949      420523       1144205      4975256      6789853      7092953      
20      5143642      5409618      401277       1166437      5531589      6920906      7534545      
22      5297428      6062846      372396       1101327      5377063      7641958      7582908      
24      5714263      5875079      352214       1109173      5526346      7696983      7635295      
26      5677961      6110542      332280       1008210      6064673      7458536      7696810      
28      5855701      6017818      313711       990649       6045024      8083997      7880287      
30      6103897      6289888      295021       986175       5887444      7772761      8167578      
32      6127953      6213042      281985       941364       6148272      8539766      8188067      
34      6085348      6220249      268615       875265       6405261      8437029      8252739      
36      6398703      6208991      249741       827341       6074240      8359432      8289804      
38      6189581      6138367      242808       743131       6286089      8616418      8141330      
40      6689111      6173863      229517       632243       6434701      8651639      8105853      
42      6238096      6182470      215167       572587       6520358      8716095      8718527      
44      6243545      6320918      210767       569620       6458554      8693744      8203028      
46      6334894      6309997      202198       549163       6630860      8695151      8569620      
48      6395642      6351815      188468       506851       6432322      8850054      8181683      
52      6169489      5854862      5647         518941       6586495      8733312      7961583      
56      6181218      5464103      4385         496623       6294101      8555782      7416359      
60      5759769      5264332      4224         561374       6336186      8045896      6915964      
64      5621519      4841623      3089         587980       6053683      8003189      6259826      
