### params -i8192 -r16384 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_optik_cache_0 lpdxeon2680lb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       27031        32045        18314        27092        32038        48436        40750        
2       55410        57439        30755        49242        57435        84599        86287        
4       98230        102695       41462        76997        102033       154468       153958       
6       131755       138428       40650        77368        133355       199071       200626       
8       155453       166985       39330        73705        158951       245736       246323       
10      179611       192966       37773        68940        186678       279757       286277       
12      210754       219204       36973        69275        212073       318487       327063       
14      236012       245837       36361        66050        234123       349556       368683       
16      253647       274062       35624        64836        258888       396942       409426       
18      276357       294995       35286        63599        279499       428577       432283       
20      299827       317780       34772        62647        308488       444155       477795       
22      321355       339332       34471        61604        326986       476367       505439       
24      341733       357755       34282        60850        344582       506178       541933       
26      354404       377352       33943        59540        353588       530885       561367       
28      371667       399566       33500        58711        375740       565933       588849       
30      388847       408225       33702        57753        392389       583889       606330       
32      413574       432163       32688        57663        409075       581705       635363       
34      431195       441530       32636        55257        421882       614330       624295       
36      431511       442256       32567        52908        419851       613804       648090       
38      435760       464497       32001        52890        434807       647818       674717       
40      448410       465573       31513        52209        438790       647704       690187       
44      451684       450835       2794         51061        434604       668303       666048       
48      433812       441567       1889         51306        432807       644019       648999       
52      427275       434050       1576         49952        421171       603625       655514       
56      415847       424796       1334         49331        412603       604160       634924       
60      399979       416643       1162         47502        402647       579922       630678       
