#cores  throughput  linear  actual
1       143886      1       1       
2       38724       2       0.27    
3       44535       3       0.31    
4       54729       4       0.38    
5       66090       5       0.46    
6       75791       6       0.53    
7       85982       7       0.60    
8       97046       8       0.67    
9       109257      9       0.76    
10      118504      10      0.82    
11      131079      11      0.91    
12      138983      12      0.97    
13      151618      13      1.05    
14      157763      14      1.10    
15      164755      15      1.15    
16      180209      16      1.25    
17      182519      17      1.27    
18      197107      18      1.37    
19      204504      19      1.42    
20      217158      20      1.51    
21      224106      21      1.56    
22      231698      22      1.61    
23      241477      23      1.68    
24      251150      24      1.75    
25      255885      25      1.78    
26      263274      26      1.83    
27      257587      27      1.79    
28      272238      28      1.89    
29      294438      29      2.05    
30      284593      30      1.98    
31      287429      31      2.00    
32      294268      32      2.05    
33      317881      33      2.21    
34      132055      34      0.92    
35      332321      35      2.31    
36      270573      36      1.88    
37      105989      37      0.74    
38      106793      38      0.74    
39      366088      39      2.54    
40      204538      40      1.42    
41      92564       41      0.64    
42      83599       42      0.58    
43      123131      43      0.86    
44      127734      44      0.89    
45      93995       45      0.65    
46      87800       46      0.61    
47      119623      47      0.83    
48      125457      48      0.87    
