#cores  throughput  linear  actual
1       1808        1       1       
2       659         2       0.36    
3       850         3       0.47    
4       1091        4       0.60    
5       1398        5       0.77    
6       1561        6       0.86    
7       1739        7       0.96    
8       1908        8       1.06    
9       2191        9       1.21    
10      2363        10      1.31    
11      2493        11      1.38    
12      2727        12      1.51    
13      2855        13      1.58    
14      3022        14      1.67    
15      3260        15      1.80    
16      3205        16      1.77    
17      3400        17      1.88    
18      3422        18      1.89    
19      3430        19      1.90    
20      3476        20      1.92    
21      3408        21      1.88    
22      3386        22      1.87    
23      3351        23      1.85    
24      3304        24      1.83    
25      3228        25      1.79    
26      3188        26      1.76    
27      3085        27      1.71    
28      2972        28      1.64    
29      3010        29      1.66    
30      2961        30      1.64    
31      2815        31      1.56    
32      2825        32      1.56    
33      2825        33      1.56    
34      2843        34      1.57    
35      2729        35      1.51    
36      2610        36      1.44    
37      2611        37      1.44    
38      2599        38      1.44    
39      2491        39      1.38    
40      2534        40      1.40    
41      2407        41      1.33    
42      2355        42      1.30    
43      2428        43      1.34    
44      2444        44      1.35    
45      2244        45      1.24    
46      2291        46      1.27    
47      2296        47      1.27    
48      2208        48      1.22    
