#cores  throughput  linear  actual
1       7549477     1       1       
2       5673616     2       0.75    
3       7663791     3       1.02    
4       8235445     4       1.09    
5       9865501     5       1.31    
6       10920632    6       1.45    
7       13065818    7       1.73    
8       13535677    8       1.79    
9       15103857    9       2.00    
10      15371217    10      2.04    
11      17900428    11      2.37    
12      17705279    12      2.35    
13      19638530    13      2.60    
14      19493888    14      2.58    
15      20985675    15      2.78    
16      21499161    16      2.85    
17      23755200    17      3.15    
18      23490006    18      3.11    
19      24928392    19      3.30    
20      23258250    20      3.08    
21      26921385    21      3.57    
22      26217455    22      3.47    
23      29318259    23      3.88    
24      25493670    24      3.38    
25      28545074    25      3.78    
26      27909894    26      3.70    
27      29654677    27      3.93    
28      28824000    28      3.82    
29      31782497    29      4.21    
30      28720924    30      3.80    
31      30269316    31      4.01    
32      28057063    32      3.72    
33      31094567    33      4.12    
34      29451187    34      3.90    
35      32538817    35      4.31    
36      27022070    36      3.58    
37      28190433    37      3.73    
38      27155636    38      3.60    
39      29802548    39      3.95    
40      25992395    40      3.44    
41      31894764    41      4.22    
42      27603818    42      3.66    
43      26468087    43      3.51    
44      23533071    44      3.12    
45      18413210    45      2.44    
46      24859087    46      3.29    
47      15677432    47      2.08    
48      17598874    48      2.33    
