#cores  throughput  linear  actual
1       1899188     1       1       
2       2506971     2       1.32    
3       2689735     3       1.42    
4       2509708     4       1.32    
5       2295826     5       1.21    
6       2222936     6       1.17    
7       2255922     7       1.19    
8       2299862     8       1.21    
9       2313296     9       1.22    
10      2296273     10      1.21    
11      2275967     11      1.20    
12      2273895     12      1.20    
13      2220617     13      1.17    
14      2189625     14      1.15    
15      2150637     15      1.13    
16      2115046     16      1.11    
17      2078118     17      1.09    
18      2052907     18      1.08    
19      2013121     19      1.06    
20      1979692     20      1.04    
21      1968901     21      1.04    
22      1945181     22      1.02    
23      1910658     23      1.01    
24      1913000     24      1.01    
25      1859553     25      0.98    
26      1848522     26      0.97    
27      1823900     27      0.96    
28      1794821     28      0.95    
29      1793278     29      0.94    
30      1770876     30      0.93    
31      1737715     31      0.91    
32      1746388     32      0.92    
33      1723357     33      0.91    
34      1734442     34      0.91    
35      1730325     35      0.91    
36      1687592     36      0.89    
37      1679109     37      0.88    
38      1662823     38      0.88    
39      1657995     39      0.87    
40      1650374     40      0.87    
41      1614277     41      0.85    
42      1612773     42      0.85    
43      1578356     43      0.83    
44      1586985     44      0.84    
45      1567490     45      0.83    
46      1545823     46      0.81    
47      1559950     47      0.82    
48      1499823     48      0.79    
