#cores  throughput  linear  actual
1       1535447     1       1       
2       2214415     2       1.44    
3       2491290     3       1.62    
4       2481824     4       1.62    
5       2323744     5       1.51    
6       2248476     6       1.46    
7       2264387     7       1.47    
8       2270592     8       1.48    
9       2303691     9       1.50    
10      2286514     10      1.49    
11      2258539     11      1.47    
12      2238835     12      1.46    
13      2276221     13      1.48    
14      2195283     14      1.43    
15      2146409     15      1.40    
16      2124848     16      1.38    
17      2081831     17      1.36    
18      2048743     18      1.33    
19      2004617     19      1.31    
20      1977820     20      1.29    
21      1969461     21      1.28    
22      1930971     22      1.26    
23      1901868     23      1.24    
24      1889058     24      1.23    
25      1839383     25      1.20    
26      1818693     26      1.18    
27      1823688     27      1.19    
28      1800988     28      1.17    
29      1781000     29      1.16    
30      1758294     30      1.15    
31      1759356     31      1.15    
32      1731235     32      1.13    
33      1696226     33      1.10    
34      1662161     34      1.08    
35      1690157     35      1.10    
36      1684640     36      1.10    
37      1679637     37      1.09    
38      1683654     38      1.10    
39      1650062     39      1.07    
40      1647926     40      1.07    
41      1630797     41      1.06    
42      1600879     42      1.04    
43      1602371     43      1.04    
44      1590261     44      1.04    
45      1554131     45      1.01    
46      1546398     46      1.01    
47      1531865     47      1.00    
48      1510976     48      0.98    
