#cores  throughput  linear  actual
1       1809        1       1       
2       668         2       0.37    
3       861         3       0.48    
4       1128        4       0.62    
5       1350        5       0.75    
6       1579        6       0.87    
7       1792        7       0.99    
8       1983        8       1.10    
9       2154        9       1.19    
10      2337        10      1.29    
11      2491        11      1.38    
12      2727        12      1.51    
13      2963        13      1.64    
14      3049        14      1.69    
15      3209        15      1.77    
16      3314        16      1.83    
17      3386        17      1.87    
18      3462        18      1.91    
19      3378        19      1.87    
20      3346        20      1.85    
21      3423        21      1.89    
22      3367        22      1.86    
23      3374        23      1.87    
24      3292        24      1.82    
25      3214        25      1.78    
26      3172        26      1.75    
27      3125        27      1.73    
28      3061        28      1.69    
29      2689        29      1.49    
30      2894        30      1.60    
31      2951        31      1.63    
32      2828        32      1.56    
33      2861        33      1.58    
34      2685        34      1.48    
35      2709        35      1.50    
36      2642        36      1.46    
37      2716        37      1.50    
38      2234        38      1.23    
39      2483        39      1.37    
40      2448        40      1.35    
41      2329        41      1.29    
42      2379        42      1.32    
43      2398        43      1.33    
44      2299        44      1.27    
45      2220        45      1.23    
46      2209        46      1.22    
47      2224        47      1.23    
48      2270        48      1.25    
