#cores  throughput  linear  actual
1       2673778     1       1       
2       4013848     2       1.50    
3       4177926     3       1.56    
4       4753367     4       1.78    
5       4692400     5       1.75    
6       4590372     6       1.72    
7       4448262     7       1.66    
8       4472166     8       1.67    
9       4574216     9       1.71    
10      4471824     10      1.67    
11      4594340     11      1.72    
12      4545573     12      1.70    
13      4552320     13      1.70    
14      4455897     14      1.67    
15      4402790     15      1.65    
16      4365266     16      1.63    
17      4280713     17      1.60    
18      4353430     18      1.63    
19      4061695     19      1.52    
20      4088749     20      1.53    
21      3918077     21      1.47    
22      4049053     22      1.51    
23      3897808     23      1.46    
24      3855572     24      1.44    
25      3782211     25      1.41    
26      3931654     26      1.47    
27      3768229     27      1.41    
28      3632823     28      1.36    
29      3632417     29      1.36    
30      3484394     30      1.30    
31      3436754     31      1.29    
32      3420653     32      1.28    
33      3454736     33      1.29    
34      3970490     34      1.48    
35      3342334     35      1.25    
36      3348526     36      1.25    
37      3282030     37      1.23    
38      3613320     38      1.35    
39      3043546     39      1.14    
40      3305381     40      1.24    
41      3159376     41      1.18    
42      2992754     42      1.12    
43      2947859     43      1.10    
44      3108015     44      1.16    
45      3209868     45      1.20    
46      2926995     46      1.09    
47      3372581     47      1.26    
48      2615795     48      0.98    
