#cores  throughput  linear  actual
1       5794744     1       1       
2       9391416     2       1.62    
3       10995248    3       1.90    
4       13981970    4       2.41    
5       15412454    5       2.66    
6       18071257    6       3.12    
7       20701136    7       3.57    
8       21771560    8       3.76    
9       24543840    9       4.24    
10      26946907    10      4.65    
11      27886004    11      4.81    
12      29941347    12      5.17    
13      31362403    13      5.41    
14      33134168    14      5.72    
15      34806134    15      6.01    
16      35266845    16      6.09    
17      37666302    17      6.50    
18      39614382    18      6.84    
19      39966172    19      6.90    
20      42216647    20      7.29    
21      43124994    21      7.44    
22      44541121    22      7.69    
23      46267040    23      7.98    
24      46933519    24      8.10    
25      47953473    25      8.28    
26      49959508    26      8.62    
27      50853840    27      8.78    
28      51205722    28      8.84    
29      52095859    29      8.99    
30      52944109    30      9.14    
31      54483561    31      9.40    
32      56364706    32      9.73    
33      57272108    33      9.88    
34      57054927    34      9.85    
35      56147895    35      9.69    
36      58399589    36      10.08   
37      58425473    37      10.08   
38      56448021    38      9.74    
39      59833062    39      10.33   
40      59818472    40      10.32   
41      61198462    41      10.56   
42      61514958    42      10.62   
43      60531853    43      10.45   
44      62297892    44      10.75   
45      62138739    45      10.72   
46      62330094    46      10.76   
47      63435259    47      10.95   
48      55404843    48      9.56    
