#cores  throughput  linear  actual
1       3638619     1       1       
2       5908720     2       1.62    
3       7344371     3       2.02    
4       9289678     4       2.55    
5       10672696    5       2.93    
6       12421696    6       3.41    
7       14229197    7       3.91    
8       15438692    8       4.24    
9       17394853    9       4.78    
10      19157998    10      5.27    
11      20760562    11      5.71    
12      22320950    12      6.13    
13      23625177    13      6.49    
14      25059457    14      6.89    
15      26228249    15      7.21    
16      27535725    16      7.57    
17      29133545    17      8.01    
18      30428020    18      8.36    
19      32176009    19      8.84    
20      32923285    20      9.05    
21      33684630    21      9.26    
22      34619549    22      9.51    
23      36857906    23      10.13   
24      37315912    24      10.26   
25      38589846    25      10.61   
26      39492402    26      10.85   
27      38288189    27      10.52   
28      38794882    28      10.66   
29      41306201    29      11.35   
30      36734093    30      10.10   
31      34025981    31      9.35    
32      43792962    32      12.04   
33      45541449    33      12.52   
34      43645490    34      12.00   
35      38977538    35      10.71   
36      44178898    36      12.14   
37      44467854    37      12.22   
38      43481335    38      11.95   
39      42728668    39      11.74   
40      40971063    40      11.26   
41      41783557    41      11.48   
42      28278583    42      7.77    
43      24323158    43      6.68    
44      24935731    44      6.85    
45      24585155    45      6.76    
46      25214612    46      6.93    
47      25640403    47      7.05    
48      25015494    48      6.87    
