#cores  throughput  linear  actual
1       1162838     1       1       
2       1803873     2       1.55    
3       2180942     3       1.88    
4       2329544     4       2.00    
5       2291029     5       1.97    
6       2278517     6       1.96    
7       2259091     7       1.94    
8       2284039     8       1.96    
9       2300257     9       1.98    
10      2321372     10      2.00    
11      2260030     11      1.94    
12      2261492     12      1.94    
13      2237244     13      1.92    
14      2189084     14      1.88    
15      2145334     15      1.84    
16      2108408     16      1.81    
17      2075786     17      1.79    
18      2049332     18      1.76    
19      1982846     19      1.71    
20      1966589     20      1.69    
21      1941522     21      1.67    
22      1933820     22      1.66    
23      1897790     23      1.63    
24      1867482     24      1.61    
25      1850876     25      1.59    
26      1799334     26      1.55    
27      1815107     27      1.56    
28      1789177     28      1.54    
29      1775142     29      1.53    
30      1755800     30      1.51    
31      1728167     31      1.49    
32      1739285     32      1.50    
33      1704389     33      1.47    
34      1707890     34      1.47    
35      1693905     35      1.46    
36      1677666     36      1.44    
37      1658559     37      1.43    
38      1675104     38      1.44    
39      1646900     39      1.42    
40      1641388     40      1.41    
41      1603971     41      1.38    
42      1590584     42      1.37    
43      1580136     43      1.36    
44      1572151     44      1.35    
45      1568612     45      1.35    
46      1541513     46      1.33    
47      1528778     47      1.31    
48      1515045     48      1.30    
