#cores  throughput  linear  actual
1       1036393     1       1       
2       1862891     2       1.80    
3       2546739     3       2.46    
4       3224726     4       3.11    
5       3740949     5       3.61    
6       4192278     6       4.05    
7       4696082     7       4.53    
8       5149714     8       4.97    
9       5751990     9       5.55    
10      5876560     10      5.67    
11      6417292     11      6.19    
12      6684024     12      6.45    
13      7397757     13      7.14    
14      7270972     14      7.02    
15      7671487     15      7.40    
16      8122641     16      7.84    
17      8613023     17      8.31    
18      8652808     18      8.35    
19      9175500     19      8.85    
20      9323621     20      9.00    
21      9725231     21      9.38    
22      9931453     22      9.58    
23      10397525    23      10.03   
24      10134276    24      9.78    
25      10644677    25      10.27   
26      10989904    26      10.60   
27      11314633    27      10.92   
28      11176180    28      10.78   
29      11440997    29      11.04   
30      11707048    30      11.30   
31      11876267    31      11.46   
32      12238577    32      11.81   
33      12034368    33      11.61   
34      12501023    34      12.06   
35      12695748    35      12.25   
36      13061301    36      12.60   
37      12539542    37      12.10   
38      12834221    38      12.38   
39      13278235    39      12.81   
40      12997291    40      12.54   
41      13009984    41      12.55   
42      13174891    42      12.71   
43      13839840    43      13.35   
44      13872863    44      13.39   
45      13172956    45      12.71   
46      13997941    46      13.51   
47      13788951    47      13.30   
48      14442841    48      13.94   
