#cores  throughput  linear  actual
1       8211        1       1       
2       15708       2       1.91    
3       21875       3       2.66    
4       28594       4       3.48    
5       35032       5       4.27    
6       40657       6       4.95    
7       43972       7       5.36    
8       51444       8       6.27    
9       56967       9       6.94    
10      59573       10      7.26    
11      63934       11      7.79    
12      67258       12      8.19    
13      73130       13      8.91    
14      76016       14      9.26    
15      80762       15      9.84    
16      83203       16      10.13   
17      87215       17      10.62   
18      92278       18      11.24   
19      96329       19      11.73   
20      100942      20      12.29   
21      104299      21      12.70   
22      107105      22      13.04   
23      110773      23      13.49   
24      113192      24      13.79   
25      117097      25      14.26   
26      119274      26      14.53   
27      123526      27      15.04   
28      125950      28      15.34   
29      130126      29      15.85   
30      132017      30      16.08   
31      131835      31      16.06   
32      135761      32      16.53   
33      140104      33      17.06   
34      143261      34      17.45   
35      145899      35      17.77   
36      143616      36      17.49   
37      149855      37      18.25   
38      149826      38      18.25   
39      157176      39      19.14   
40      159917      40      19.48   
41      154619      41      18.83   
42      163596      42      19.92   
43      161910      43      19.72   
44      164522      44      20.04   
45      172196      45      20.97   
46      171031      46      20.83   
47      170349      47      20.75   
48      174059      48      21.20   
