#cores  throughput  linear  actual
1       4738031     1       1       
2       6757146     2       1.43    
3       7777975     3       1.64    
4       9467532     4       2.00    
5       10487272    5       2.21    
6       11827092    6       2.50    
7       13313961    7       2.81    
8       13833755    8       2.92    
9       15029528    9       3.17    
10      16068773    10      3.39    
11      16662439    11      3.52    
12      17777902    12      3.75    
13      18516681    13      3.91    
14      19302428    14      4.07    
15      19932438    15      4.21    
16      20784247    16      4.39    
17      21531715    17      4.54    
18      22472150    18      4.74    
19      22765795    19      4.80    
20      23838850    20      5.03    
21      23562468    21      4.97    
22      24657626    22      5.20    
23      25328462    23      5.35    
24      25471714    24      5.38    
25      26495906    25      5.59    
26      26920230    26      5.68    
27      26763823    27      5.65    
28      27758545    28      5.86    
29      27458629    29      5.80    
30      29297781    30      6.18    
31      29334350    31      6.19    
32      29878071    32      6.31    
33      29986376    33      6.33    
34      30550927    34      6.45    
35      30713094    35      6.48    
36      31316152    36      6.61    
37      31587824    37      6.67    
38      31563764    38      6.66    
39      31745227    39      6.70    
40      32221685    40      6.80    
41      31950480    41      6.74    
42      32565586    42      6.87    
43      32934797    43      6.95    
44      27577600    44      5.82    
45      33369265    45      7.04    
46      35117598    46      7.41    
47      29149329    47      6.15    
48      28013262    48      5.91    
