#cores  throughput  linear  actual
1       2112881     1       1       
2       3326684     2       1.57    
3       4173800     3       1.98    
4       4592731     4       2.17    
5       4625333     5       2.19    
6       4670198     6       2.21    
7       4557582     7       2.16    
8       4561328     8       2.16    
9       4568745     9       2.16    
10      4576352     10      2.17    
11      4574196     11      2.16    
12      4486112     12      2.12    
13      4466502     13      2.11    
14      4498541     14      2.13    
15      4404287     15      2.08    
16      4342173     16      2.06    
17      4259554     17      2.02    
18      4197826     18      1.99    
19      4094370     19      1.94    
20      4064151     20      1.92    
21      4018747     21      1.90    
22      3936114     22      1.86    
23      3908871     23      1.85    
24      3886527     24      1.84    
25      3844936     25      1.82    
26      3741246     26      1.77    
27      3742551     27      1.77    
28      3688993     28      1.75    
29      3649622     29      1.73    
30      3605847     30      1.71    
31      3628046     31      1.72    
32      3532449     32      1.67    
33      3526427     33      1.67    
34      3442769     34      1.63    
35      3461541     35      1.64    
36      3433506     36      1.63    
37      3445218     37      1.63    
38      3438035     38      1.63    
39      3396140     39      1.61    
40      3380987     40      1.60    
41      3331510     41      1.58    
42      3324006     42      1.57    
43      3320374     43      1.57    
44      3277502     44      1.55    
45      3164810     45      1.50    
46      3164688     46      1.50    
47      3136695     47      1.48    
48      3099031     48      1.47    
