#cores  throughput  linear  actual
1       2009        1       1       
2       4003        2       1.99    
3       6082        3       3.03    
4       7953        4       3.96    
5       10001       5       4.98    
6       11693       6       5.82    
7       13806       7       6.87    
8       15599       8       7.76    
9       17458       9       8.69    
10      19237       10      9.58    
11      21476       11      10.69   
12      22792       12      11.34   
13      24858       13      12.37   
14      26738       14      13.31   
15      28571       15      14.22   
16      29959       16      14.91   
17      32173       17      16.01   
18      33135       18      16.49   
19      35177       19      17.51   
20      36692       20      18.26   
21      38514       21      19.17   
22      40378       22      20.10   
23      41762       23      20.79   
24      43386       24      21.60   
25      45252       25      22.52   
26      45597       26      22.70   
27      48060       27      23.92   
28      48829       28      24.31   
29      50954       29      25.36   
30      52205       30      25.99   
31      52719       31      26.24   
32      54628       32      27.19   
33      56988       33      28.37   
34      56449       34      28.10   
35      59270       35      29.50   
36      60727       36      30.23   
37      63396       37      31.56   
38      63985       38      31.85   
39      64968       39      32.34   
40      65287       40      32.50   
41      67816       41      33.76   
42      69426       42      34.56   
43      71510       43      35.59   
44      69917       44      34.80   
45      72439       45      36.06   
46      70480       46      35.08   
47      76562       47      38.11   
48      74984       48      37.32   
