#cores  throughput  linear  actual
1       7906134     1       1       
2       12034161    2       1.52    
3       13124397    3       1.66    
4       16454357    4       2.08    
5       18066971    5       2.29    
6       20880850    6       2.64    
7       23826385    7       3.01    
8       25027692    8       3.17    
9       27846039    9       3.52    
10      30025925    10      3.80    
11      31370547    11      3.97    
12      33244854    12      4.20    
13      34596841    13      4.38    
14      36726715    14      4.65    
15      38643756    15      4.89    
16      39926947    16      5.05    
17      41625827    17      5.27    
18      43262157    18      5.47    
19      43872968    19      5.55    
20      45905647    20      5.81    
21      46909439    21      5.93    
22      48698043    22      6.16    
23      49366886    23      6.24    
24      51261283    24      6.48    
25      52123086    25      6.59    
26      53752226    26      6.80    
27      53464668    27      6.76    
28      55328732    28      7.00    
29      56259019    29      7.12    
30      57556230    30      7.28    
31      56990259    31      7.21    
32      59343242    32      7.51    
33      57243572    33      7.24    
34      60065455    34      7.60    
35      60080359    35      7.60    
36      61705759    36      7.80    
37      62279694    37      7.88    
38      60563575    38      7.66    
39      60289726    39      7.63    
40      54724257    40      6.92    
41      61662561    41      7.80    
42      54669296    42      6.91    
43      59040405    43      7.47    
44      52984503    44      6.70    
45      54760343    45      6.93    
46      55241505    46      6.99    
47      56821891    47      7.19    
48      58770824    48      7.43    
