#cores  throughput  linear  actual
1       3231774     1       1       
2       6167887     2       1.91    
3       7947134     3       2.46    
4       10344294    4       3.20    
5       12228724    5       3.78    
6       14674658    6       4.54    
7       17038075    7       5.27    
8       18685690    8       5.78    
9       20935137    9       6.48    
10      23525915    10      7.28    
11      24993315    11      7.73    
12      27074434    12      8.38    
13      29006258    13      8.98    
14      30842272    14      9.54    
15      33187954    15      10.27   
16      34721362    16      10.74   
17      36618543    17      11.33   
18      39532017    18      12.23   
19      40639693    19      12.58   
20      42736055    20      13.22   
21      43390217    21      13.43   
22      45878955    22      14.20   
23      47429343    23      14.68   
24      47822607    24      14.80   
25      50815484    25      15.72   
26      53056637    26      16.42   
27      53841569    27      16.66   
28      55717440    28      17.24   
29      56240086    29      17.40   
30      58278336    30      18.03   
31      59868031    31      18.52   
32      61265674    32      18.96   
33      60461034    33      18.71   
34      64179327    34      19.86   
35      64660639    35      20.01   
36      68020448    36      21.05   
37      66694703    37      20.64   
38      67838366    38      20.99   
39      70292425    39      21.75   
40      68232281    40      21.11   
41      68318006    41      21.14   
42      71180391    42      22.03   
43      69695680    43      21.57   
44      72458324    44      22.42   
45      69128751    45      21.39   
46      65420187    46      20.24   
47      45953167    47      14.22   
48      49801933    48      15.41   
