#cores  throughput  linear  actual
1       5944351     1       1       
2       6214026     2       1.05    
3       8984252     3       1.51    
4       9694029     4       1.63    
5       12118481    5       2.04    
6       13759678    6       2.31    
7       16127953    7       2.71    
8       16633810    8       2.80    
9       19205552    9       3.23    
10      19285639    10      3.24    
11      21965396    11      3.70    
12      22149934    12      3.73    
13      24281797    13      4.08    
14      23944558    14      4.03    
15      26442346    15      4.45    
16      26973207    16      4.54    
17      30113943    17      5.07    
18      29234349    18      4.92    
19      31123756    19      5.24    
20      31469150    20      5.29    
21      34218345    21      5.76    
22      33123584    22      5.57    
23      36577657    23      6.15    
24      34567453    24      5.82    
25      38433376    25      6.47    
26      36529760    26      6.15    
27      41222460    27      6.93    
28      38609795    28      6.50    
29      42633731    29      7.17    
30      39187786    30      6.59    
31      41329477    31      6.95    
32      40952208    32      6.89    
33      43035813    33      7.24    
34      41524592    34      6.99    
35      42651417    35      7.18    
36      40919257    36      6.88    
37      41465174    37      6.98    
38      38189373    38      6.42    
39      44829741    39      7.54    
40      36997062    40      6.22    
41      37083496    41      6.24    
42      35551159    42      5.98    
43      23157429    43      3.90    
44      34688588    44      5.84    
45      39223300    45      6.60    
46      32439704    46      5.46    
47      14235574    47      2.39    
48      26007544    48      4.38    
