#cores  throughput  linear  actual
1       22092       1       1       
2       42234       2       1.91    
3       65679       3       2.97    
4       83351       4       3.77    
5       92846       5       4.20    
6       88295       6       4.00    
7       104911      7       4.75    
8       109520      8       4.96    
9       119618      9       5.41    
10      124610      10      5.64    
11      134016      11      6.07    
12      143789      12      6.51    
13      150648      13      6.82    
14      158532      14      7.18    
15      167090      15      7.56    
16      174934      16      7.92    
17      186624      17      8.45    
18      190946      18      8.64    
19      196600      19      8.90    
20      204768      20      9.27    
21      213039      21      9.64    
22      222112      22      10.05   
23      231185      23      10.46   
24      236948      24      10.73   
25      245060      25      11.09   
26      251623      26      11.39   
27      248945      27      11.27   
28      262513      28      11.88   
29      261491      29      11.84   
30      267585      30      12.11   
31      273607      31      12.38   
32      276632      32      12.52   
33      276000      33      12.49   
34      288453      34      13.06   
35      312080      35      14.13   
36      295988      36      13.40   
37      296809      37      13.44   
38      307938      38      13.94   
39      306793      39      13.89   
40      315985      40      14.30   
41      315969      41      14.30   
42      325876      42      14.75   
43      332303      43      15.04   
44      333465      44      15.09   
45      341398      45      15.45   
46      335326      46      15.18   
47      365070      47      16.52   
48      348362      48      15.77   
