#cores  throughput  linear  actual
1       8296461     1       1       
2       7358455     2       0.89    
3       10554022    3       1.27    
4       11301981    4       1.36    
5       13223780    5       1.59    
6       15260145    6       1.84    
7       16651005    7       2.01    
8       17920764    8       2.16    
9       20142497    9       2.43    
10      20675315    10      2.49    
11      23183708    11      2.79    
12      22539655    12      2.72    
13      24658491    13      2.97    
14      25293092    14      3.05    
15      26483521    15      3.19    
16      27472477    16      3.31    
17      30743700    17      3.71    
18      29698115    18      3.58    
19      33103727    19      3.99    
20      31996334    20      3.86    
21      33703074    21      4.06    
22      33234577    22      4.01    
23      36790429    23      4.43    
24      34386396    24      4.14    
25      39367268    25      4.75    
26      36199731    26      4.36    
27      34970375    27      4.22    
28      35877169    28      4.32    
29      38692512    29      4.66    
30      37767770    30      4.55    
31      39806320    31      4.80    
32      37480500    32      4.52    
33      41517420    33      5.00    
34      36836051    34      4.44    
35      41014993    35      4.94    
36      35157776    36      4.24    
37      38717277    37      4.67    
38      34303955    38      4.13    
39      37149074    39      4.48    
40      33250483    40      4.01    
41      36650570    41      4.42    
42      30566049    42      3.68    
43      33388558    43      4.02    
44      29032792    44      3.50    
45      31693706    45      3.82    
46      27317231    46      3.29    
47      24588467    47      2.96    
48      23945857    48      2.89    
