#cores  throughput  linear  actual
1       7292795     1       1       
2       9329433     2       1.28    
3       10088058    3       1.38    
4       12213109    4       1.67    
5       13527411    5       1.85    
6       15530213    6       2.13    
7       17230399    7       2.36    
8       18311616    8       2.51    
9       20054829    9       2.75    
10      21688707    10      2.97    
11      22788631    11      3.12    
12      23933181    12      3.28    
13      25090967    13      3.44    
14      26503950    14      3.63    
15      27173288    15      3.73    
16      28394668    16      3.89    
17      29894068    17      4.10    
18      31081868    18      4.26    
19      32320486    19      4.43    
20      32452351    20      4.45    
21      34030457    21      4.67    
22      34245907    22      4.70    
23      34571536    23      4.74    
24      36904459    24      5.06    
25      36534099    25      5.01    
26      37959256    26      5.21    
27      38945030    27      5.34    
28      39061828    28      5.36    
29      40054442    29      5.49    
30      34031562    30      4.67    
31      41342614    31      5.67    
32      41079422    32      5.63    
33      41815927    33      5.73    
34      38677455    34      5.30    
35      39560568    35      5.42    
36      40555443    36      5.56    
37      41245551    37      5.66    
38      40983091    38      5.62    
39      41203174    39      5.65    
40      33822175    40      4.64    
41      31905346    41      4.37    
42      41334005    42      5.67    
43      32848186    43      4.50    
44      24705647    44      3.39    
45      24621025    45      3.38    
46      28678814    46      3.93    
47      27614545    47      3.79    
48      24879070    48      3.41    
