#cores  throughput  linear  actual
1       2009        1       1       
2       4013        2       2.00    
3       6048        3       3.01    
4       8060        4       4.01    
5       10109       5       5.03    
6       11935       6       5.94    
7       14059       7       7.00    
8       15872       8       7.90    
9       18110       9       9.01    
10      19600       10      9.76    
11      21663       11      10.78   
12      23252       12      11.57   
13      25517       13      12.70   
14      26953       14      13.42   
15      29772       15      14.82   
16      30939       16      15.40   
17      33340       17      16.60   
18      34365       18      17.11   
19      36244       19      18.04   
20      38022       20      18.93   
21      40146       21      19.98   
22      41528       22      20.67   
23      43936       23      21.87   
24      44839       24      22.32   
25      47062       25      23.43   
26      48081       26      23.93   
27      49867       27      24.82   
28      51231       28      25.50   
29      53773       29      26.77   
30      53846       30      26.80   
31      57285       31      28.51   
32      57916       32      28.83   
33      59303       33      29.52   
34      61322       34      30.52   
35      60497       35      30.11   
36      64196       36      31.95   
37      66454       37      33.08   
38      66668       38      33.18   
39      67906       39      33.80   
40      69192       40      34.44   
41      71444       41      35.56   
42      74401       42      37.03   
43      76550       43      38.10   
44      77350       44      38.50   
45      76200       45      37.93   
46      77716       46      38.68   
47      81908       47      40.77   
48      80008       48      39.82   
