#cores  throughput  linear  actual
1       3079886     1       1       
2       5562351     2       1.81    
3       7042925     3       2.29    
4       9033693     4       2.93    
5       10488650    5       3.41    
6       12564871    6       4.08    
7       14428460    7       4.68    
8       15789934    8       5.13    
9       17814769    9       5.78    
10      19075593    10      6.19    
11      20981511    11      6.81    
12      22677986    12      7.36    
13      24357079    13      7.91    
14      25326036    14      8.22    
15      27465619    15      8.92    
16      28434323    16      9.23    
17      30223764    17      9.81    
18      31941013    18      10.37   
19      32255178    19      10.47   
20      33704225    20      10.94   
21      35196282    21      11.43   
22      36119632    22      11.73   
23      37156554    23      12.06   
24      38093155    24      12.37   
25      39679423    25      12.88   
26      40737401    26      13.23   
27      33364837    27      10.83   
28      40844327    28      13.26   
29      41748970    29      13.56   
30      38287065    30      12.43   
31      42890857    31      13.93   
32      43987077    32      14.28   
33      43562943    33      14.14   
34      43553899    34      14.14   
35      46300302    35      15.03   
36      44594448    36      14.48   
37      46630770    37      15.14   
38      28560243    38      9.27    
39      25658799    39      8.33    
40      23805027    40      7.73    
41      23149811    41      7.52    
42      26011057    42      8.45    
43      24287084    43      7.89    
44      24199167    44      7.86    
45      26293942    45      8.54    
46      26425843    46      8.58    
47      25197577    47      8.18    
48      24795460    48      8.05    
