#cores  throughput  linear  actual
1       144356      1       1       
2       38627       2       0.27    
3       46697       3       0.32    
4       55686       4       0.39    
5       67710       5       0.47    
6       77232       6       0.54    
7       88015       7       0.61    
8       98840       8       0.68    
9       110632      9       0.77    
10      119707      10      0.83    
11      130869      11      0.91    
12      140188      12      0.97    
13      150270      13      1.04    
14      154846      14      1.07    
15      172228      15      1.19    
16      182023      16      1.26    
17      191331      17      1.33    
18      199643      18      1.38    
19      207624      19      1.44    
20      218186      20      1.51    
21      206978      21      1.43    
22      233205      22      1.62    
23      242766      23      1.68    
24      252424      24      1.75    
25      250163      25      1.73    
26      250826      26      1.74    
27      276031      27      1.91    
28      276887      28      1.92    
29      286975      29      1.99    
30      292898      30      2.03    
31      287456      31      1.99    
32      304443      32      2.11    
33      293825      33      2.04    
34      279387      34      1.94    
35      295185      35      2.04    
36      248512      36      1.72    
37      157657      37      1.09    
38      105403      38      0.73    
39      346288      39      2.40    
40      133292      40      0.92    
41      113465      41      0.79    
42      124423      42      0.86    
43      100057      43      0.69    
44      99092       44      0.69    
45      95854       45      0.66    
46      104719      46      0.73    
47      128223      47      0.89    
48      124074      48      0.86    
