#cores  throughput  linear  actual
1       13139       1       1       
2       3532        2       0.27    
3       4309        3       0.33    
4       5678        4       0.43    
5       6929        5       0.53    
6       7661        6       0.58    
7       8800        7       0.67    
8       9722        8       0.74    
9       11000       9       0.84    
10      11662       10      0.89    
11      12923       11      0.98    
12      13659       12      1.04    
13      14418       13      1.10    
14      15676       14      1.19    
15      15778       15      1.20    
16      16840       16      1.28    
17      17525       17      1.33    
18      17172       18      1.31    
19      18201       19      1.39    
20      18386       20      1.40    
21      17844       21      1.36    
22      17958       22      1.37    
23      17465       23      1.33    
24      17303       24      1.32    
25      17145       25      1.30    
26      16175       26      1.23    
27      16554       27      1.26    
28      16492       28      1.26    
29      15589       29      1.19    
30      16292       30      1.24    
31      15743       31      1.20    
32      14356       32      1.09    
33      14306       33      1.09    
34      14115       34      1.07    
35      13572       35      1.03    
36      11761       36      0.90    
37      12077       37      0.92    
38      13725       38      1.04    
39      13043       39      0.99    
40      12761       40      0.97    
41      11964       41      0.91    
42      12431       42      0.95    
43      10513       43      0.80    
44      11949       44      0.91    
45      11639       45      0.89    
46      8872        46      0.68    
47      11694       47      0.89    
48      8930        48      0.68    
