#cores  throughput  linear  actual
1       3047545     1       1       
2       4578434     2       1.50    
3       7068833     3       2.32    
4       8170361     4       2.68    
5       10274728    5       3.37    
6       11435717    6       3.75    
7       13646339    7       4.48    
8       14853670    8       4.87    
9       17489811    9       5.74    
10      18038312    10      5.92    
11      21120414    11      6.93    
12      21125224    12      6.93    
13      23982379    13      7.87    
14      24276752    14      7.97    
15      27016451    15      8.86    
16      26986150    16      8.86    
17      30298494    17      9.94    
18      29840042    18      9.79    
19      33237660    19      10.91   
20      32333800    20      10.61   
21      34786484    21      11.41   
22      33038570    22      10.84   
23      38333659    23      12.58   
24      35932290    24      11.79   
25      41914745    25      13.75   
26      37004753    26      12.14   
27      43347264    27      14.22   
28      41638293    28      13.66   
29      45319221    29      14.87   
30      43314059    30      14.21   
31      44566921    31      14.62   
32      42015014    32      13.79   
33      48057756    33      15.77   
34      45571946    34      14.95   
35      43427169    35      14.25   
36      46057517    36      15.11   
37      45164944    37      14.82   
38      43782452    38      14.37   
39      48566849    39      15.94   
40      46301510    40      15.19   
41      54328887    41      17.83   
42      44629771    42      14.64   
43      45836172    43      15.04   
44      37849405    44      12.42   
45      40892238    45      13.42   
46      43925951    46      14.41   
47      46386038    47      15.22   
48      43689597    48      14.34   
