#cores  throughput  linear  actual
1       4989289     1       1       
2       8371129     2       1.68    
3       10120387    3       2.03    
4       13014981    4       2.61    
5       14711425    5       2.95    
6       17326983    6       3.47    
7       19841909    7       3.98    
8       21393701    8       4.29    
9       23993286    9       4.81    
10      27013248    10      5.41    
11      28158976    11      5.64    
12      30635759    12      6.14    
13      32265350    13      6.47    
14      34466606    14      6.91    
15      36651424    15      7.35    
16      38423940    16      7.70    
17      39788240    17      7.97    
18      42840363    18      8.59    
19      44084908    19      8.84    
20      45726978    20      9.17    
21      46635731    21      9.35    
22      48524787    22      9.73    
23      50700151    23      10.16   
24      51463652    24      10.31   
25      51755459    25      10.37   
26      53755541    26      10.77   
27      57055092    27      11.44   
28      57710327    28      11.57   
29      58750647    29      11.78   
30      60326267    30      12.09   
31      61472858    31      12.32   
32      62899296    32      12.61   
33      64597768    33      12.95   
34      64195281    34      12.87   
35      64833384    35      12.99   
36      65334504    36      13.09   
37      68711100    37      13.77   
38      69398098    38      13.91   
39      70092511    39      14.05   
40      70413058    40      14.11   
41      69375719    41      13.90   
42      72010301    42      14.43   
43      69626189    43      13.96   
44      73056375    44      14.64   
45      69649932    45      13.96   
46      60421681    46      12.11   
47      60132324    47      12.05   
48      66390027    48      13.31   
