#cores  throughput  linear  actual
1       2449598     1       1       
2       2742340     2       1.12    
3       2674974     3       1.09    
4       2505410     4       1.02    
5       2304953     5       0.94    
6       2179305     6       0.89    
7       2207081     7       0.90    
8       2248015     8       0.92    
9       2283939     9       0.93    
10      2240754     10      0.91    
11      2252470     11      0.92    
12      2289600     12      0.93    
13      2225535     13      0.91    
14      2128024     14      0.87    
15      2127941     15      0.87    
16      2115796     16      0.86    
17      2074082     17      0.85    
18      2024691     18      0.83    
19      1996449     19      0.82    
20      1943065     20      0.79    
21      1959808     21      0.80    
22      1896348     22      0.77    
23      2163210     23      0.88    
24      1878322     24      0.77    
25      1862950     25      0.76    
26      1811250     26      0.74    
27      1793006     27      0.73    
28      1765408     28      0.72    
29      1763927     29      0.72    
30      1741933     30      0.71    
31      1724122     31      0.70    
32      1716519     32      0.70    
33      1773440     33      0.72    
34      1920269     34      0.78    
35      1776900     35      0.73    
36      1739203     36      0.71    
37      1716466     37      0.70    
38      1556022     38      0.64    
39      1539379     39      0.63    
40      1581343     40      0.65    
41      1685544     41      0.69    
42      1690611     42      0.69    
43      1550684     43      0.63    
44      1354540     44      0.55    
45      1380454     45      0.56    
46      1543799     46      0.63    
47      1228001     47      0.50    
48      1303313     48      0.53    
