#cores  throughput  linear  actual
1       1531967     1       1       
2       2670341     2       1.74    
3       3530541     3       2.30    
4       4396963     4       2.87    
5       5064773     5       3.31    
6       5493944     6       3.59    
7       6025612     7       3.93    
8       6702532     8       4.38    
9       7314972     9       4.77    
10      7844604     10      5.12    
11      7913690     11      5.17    
12      8438383     12      5.51    
13      9095247     13      5.94    
14      9408020     14      6.14    
15      9485961     15      6.19    
16      9792706     16      6.39    
17      10099423    17      6.59    
18      10347956    18      6.75    
19      10562609    19      6.89    
20      10660076    20      6.96    
21      10828471    21      7.07    
22      11456545    22      7.48    
23      11449058    23      7.47    
24      11750850    24      7.67    
25      11881284    25      7.76    
26      12378650    26      8.08    
27      12526015    27      8.18    
28      12757119    28      8.33    
29      12680355    29      8.28    
30      13027176    30      8.50    
31      12890556    31      8.41    
32      13260046    32      8.66    
33      13155152    33      8.59    
34      13250243    34      8.65    
35      13058869    35      8.52    
36      13500706    36      8.81    
37      13436053    37      8.77    
38      13439491    38      8.77    
39      13688432    39      8.94    
40      14134659    40      9.23    
41      14225057    41      9.29    
42      14275577    42      9.32    
43      13960062    43      9.11    
44      14320102    44      9.35    
45      13919479    45      9.09    
46      14584551    46      9.52    
47      14738232    47      9.62    
48      14774177    48      9.64    
