#cores  throughput  linear  actual
1       4706431     1       1       
2       4597473     2       0.98    
3       6492787     3       1.38    
4       7262037     4       1.54    
5       8910719     5       1.89    
6       9798926     6       2.08    
7       11655463    7       2.48    
8       12474859    8       2.65    
9       14686676    9       3.12    
10      14771755    10      3.14    
11      16974498    11      3.61    
12      17027336    12      3.62    
13      19152412    13      4.07    
14      19342302    14      4.11    
15      21233688    15      4.51    
16      20784250    16      4.42    
17      22881685    17      4.86    
18      23475135    18      4.99    
19      26011982    19      5.53    
20      24267897    20      5.16    
21      26969173    21      5.73    
22      26998198    22      5.74    
23      28725824    23      6.10    
24      27634158    24      5.87    
25      29323501    25      6.23    
26      29280697    26      6.22    
27      30904462    27      6.57    
28      27683089    28      5.88    
29      33346823    29      7.09    
30      31891666    30      6.78    
31      31203076    31      6.63    
32      29737735    32      6.32    
33      30907416    33      6.57    
34      29037282    34      6.17    
35      28351857    35      6.02    
36      31274684    36      6.65    
37      35816914    37      7.61    
38      28105454    38      5.97    
39      35986030    39      7.65    
40      30872838    40      6.56    
41      30556487    41      6.49    
42      29868451    42      6.35    
43      23829686    43      5.06    
44      27356893    44      5.81    
45      18891250    45      4.01    
46      15787084    46      3.35    
47      22189146    47      4.71    
48      25025793    48      5.32    
