#cores  throughput  linear  actual
1       2827921     1       1       
2       3014140     2       1.07    
3       2842294     3       1.01    
4       2504693     4       0.89    
5       2279663     5       0.81    
6       2189302     6       0.77    
7       2285531     7       0.81    
8       2312330     8       0.82    
9       2343401     9       0.83    
10      2331507     10      0.82    
11      2286168     11      0.81    
12      2235142     12      0.79    
13      2215943     13      0.78    
14      2192326     14      0.78    
15      2155261     15      0.76    
16      2115046     16      0.75    
17      2078864     17      0.74    
18      2078859     18      0.74    
19      2038292     19      0.72    
20      1984735     20      0.70    
21      1979270     21      0.70    
22      1959111     22      0.69    
23      1936722     23      0.68    
24      1910119     24      0.68    
25      1880045     25      0.66    
26      1863611     26      0.66    
27      1847909     27      0.65    
28      1838105     28      0.65    
29      1802129     29      0.64    
30      1787371     30      0.63    
31      1772402     31      0.63    
32      1763372     32      0.62    
33      1733602     33      0.61    
34      1722784     34      0.61    
35      1728939     35      0.61    
36      1721116     36      0.61    
37      1715696     37      0.61    
38      1713397     38      0.61    
39      1690225     39      0.60    
40      1652787     40      0.58    
41      1663124     41      0.59    
42      1642182     42      0.58    
43      1632934     43      0.58    
44      1614413     44      0.57    
45      1604886     45      0.57    
46      1572054     46      0.56    
47      1544107     47      0.55    
48      1531500     48      0.54    
