#cores  throughput  linear  actual
1       7412286     1       1       
2       9518587     2       1.28    
3       10343515    3       1.40    
4       12511930    4       1.69    
5       14045415    5       1.89    
6       16136015    6       2.18    
7       17902058    7       2.42    
8       19093854    8       2.58    
9       20889662    9       2.82    
10      22989651    10      3.10    
11      24005820    11      3.24    
12      25357726    12      3.42    
13      26727217    13      3.61    
14      28029971    14      3.78    
15      29501224    15      3.98    
16      30532372    16      4.12    
17      31365872    17      4.23    
18      33240181    18      4.48    
19      34055937    19      4.59    
20      34639879    20      4.67    
21      35661099    21      4.81    
22      36975233    22      4.99    
23      37380754    23      5.04    
24      38113487    24      5.14    
25      38415675    25      5.18    
26      40645865    26      5.48    
27      39283946    27      5.30    
28      41401345    28      5.59    
29      40011614    29      5.40    
30      40898171    30      5.52    
31      33171727    31      4.48    
32      43545287    32      5.87    
33      43082226    33      5.81    
34      41717875    34      5.63    
35      42858188    35      5.78    
36      42965337    36      5.80    
37      41391117    37      5.58    
38      37534644    38      5.06    
39      40495942    39      5.46    
40      32272508    40      4.35    
41      34738158    41      4.69    
42      32711123    42      4.41    
43      29359319    43      3.96    
44      32240503    44      4.35    
45      32418254    45      4.37    
46      24626303    46      3.32    
47      25138924    47      3.39    
48      23891342    48      3.22    
