#cores  throughput  linear  actual
1       25946       1       1       
2       46521       2       1.79    
3       68338       3       2.63    
4       82323       4       3.17    
5       102277      5       3.94    
6       104738      6       4.04    
7       114292      7       4.40    
8       127187      8       4.90    
9       137878      9       5.31    
10      139528      10      5.38    
11      157525      11      6.07    
12      159893      12      6.16    
13      171808      13      6.62    
14      181877      14      7.01    
15      185812      15      7.16    
16      198889      16      7.67    
17      204057      17      7.86    
18      219724      18      8.47    
19      222282      19      8.57    
20      233950      20      9.02    
21      236726      21      9.12    
22      249133      22      9.60    
23      258747      23      9.97    
24      266538      24      10.27   
25      275083      25      10.60   
26      278261      26      10.72   
27      290971      27      11.21   
28      284351      28      10.96   
29      295399      29      11.39   
30      300683      30      11.59   
31      299060      31      11.53   
32      311194      32      11.99   
33      312475      33      12.04   
34      323462      34      12.47   
35      321067      35      12.37   
36      331969      36      12.79   
37      339104      37      13.07   
38      339596      38      13.09   
39      351449      39      13.55   
40      352508      40      13.59   
41      357066      41      13.76   
42      360120      42      13.88   
43      371430      43      14.32   
44      369573      44      14.24   
45      371580      45      14.32   
46      374028      46      14.42   
47      385296      47      14.85   
48      371224      48      14.31   
