#cores  throughput  linear  actual
1       454625      1       1       
2       847752      2       1.86    
3       1179927     3       2.60    
4       1494985     4       3.29    
5       1747328     5       3.84    
6       2071872     6       4.56    
7       2248935     7       4.95    
8       2531551     8       5.57    
9       2819819     9       6.20    
10      2955637     10      6.50    
11      3272991     11      7.20    
12      3505085     12      7.71    
13      3689840     13      8.12    
14      3723468     14      8.19    
15      3961230     15      8.71    
16      4118908     16      9.06    
17      4213483     17      9.27    
18      4415654     18      9.71    
19      4548727     19      10.01   
20      4540005     20      9.99    
21      4710600     21      10.36   
22      4827509     22      10.62   
23      4920705     23      10.82   
24      5005301     24      11.01   
25      4905377     25      10.79   
26      5129245     26      11.28   
27      5085568     27      11.19   
28      4908728     28      10.80   
29      5321800     29      11.71   
30      5256495     30      11.56   
31      5333527     31      11.73   
32      5267253     32      11.59   
33      5446436     33      11.98   
34      5297999     34      11.65   
35      5444593     35      11.98   
36      5272102     36      11.60   
37      5418450     37      11.92   
38      5554211     38      12.22   
39      5416133     39      11.91   
40      5499241     40      12.10   
41      5543150     41      12.19   
42      5513296     42      12.13   
43      5218378     43      11.48   
44      5438922     44      11.96   
45      5353472     45      11.78   
46      5134209     46      11.29   
47      5309920     47      11.68   
48      5160708     48      11.35   
