#cores  throughput  linear  actual
1       5762153     1       1       
2       9406705     2       1.63    
3       11075012    3       1.92    
4       14113197    4       2.45    
5       15625063    5       2.71    
6       18466836    6       3.20    
7       20933903    7       3.63    
8       22619862    8       3.93    
9       25304415    9       4.39    
10      27550916    10      4.78    
11      29043212    11      5.04    
12      31293701    12      5.43    
13      33335315    13      5.79    
14      34689546    14      6.02    
15      36993168    15      6.42    
16      38384499    16      6.66    
17      40326203    17      7.00    
18      41661824    18      7.23    
19      42893017    19      7.44    
20      45116637    20      7.83    
21      46432168    21      8.06    
22      48263285    22      8.38    
23      46950271    23      8.15    
24      49307656    24      8.56    
25      50378758    25      8.74    
26      53071130    26      9.21    
27      53975167    27      9.37    
28      55282066    28      9.59    
29      56768731    29      9.85    
30      56524948    30      9.81    
31      56138779    31      9.74    
32      58766602    32      10.20   
33      59589484    33      10.34   
34      57695375    34      10.01   
35      63350977    35      10.99   
36      64768418    36      11.24   
37      62417932    37      10.83   
38      63958364    38      11.10   
39      64051783    39      11.12   
40      65705007    40      11.40   
41      64651575    41      11.22   
42      67022243    42      11.63   
43      62434733    43      10.84   
44      62077498    44      10.77   
45      65571490    45      11.38   
46      62705935    46      10.88   
47      63195582    47      10.97   
48      54330234    48      9.43    
