#cores  throughput  linear  actual
1       1269875     1       1       
2       1896673     2       1.49    
3       2187921     3       1.72    
4       2381250     4       1.88    
5       2292713     5       1.81    
6       2261550     6       1.78    
7       2216201     7       1.75    
8       2182965     8       1.72    
9       2187901     9       1.72    
10      2230048     10      1.76    
11      2204474     11      1.74    
12      2192775     12      1.73    
13      2191257     13      1.73    
14      2186730     14      1.72    
15      2138926     15      1.68    
16      2097846     16      1.65    
17      2041882     17      1.61    
18      2018964     18      1.59    
19      1947238     19      1.53    
20      1950157     20      1.54    
21      1922207     21      1.51    
22      1917960     22      1.51    
23      1886285     23      1.49    
24      1837210     24      1.45    
25      1813039     25      1.43    
26      1822446     26      1.44    
27      1798234     27      1.42    
28      1750138     28      1.38    
29      1750041     29      1.38    
30      1728333     30      1.36    
31      1729810     31      1.36    
32      1700318     32      1.34    
33      1678808     33      1.32    
34      1682119     34      1.32    
35      1627554     35      1.28    
36      1593705     36      1.26    
37      1593448     37      1.25    
38      1566609     38      1.23    
39      1544143     39      1.22    
40      1541954     40      1.21    
41      1432949     41      1.13    
42      1447767     42      1.14    
43      1433236     43      1.13    
44      1423026     44      1.12    
45      1329299     45      1.05    
46      1291830     46      1.02    
47      1376071     47      1.08    
48      1295380     48      1.02    
