#cores  throughput  linear  actual
1       3865395     1       1       
2       6837466     2       1.77    
3       8540435     3       2.21    
4       10996403    4       2.84    
5       12676334    5       3.28    
6       15104109    6       3.91    
7       17374931    7       4.49    
8       18984834    8       4.91    
9       21449722    9       5.55    
10      24193402    10      6.26    
11      25489095    11      6.59    
12      27965123    12      7.23    
13      29323985    13      7.59    
14      31106710    14      8.05    
15      33480386    15      8.66    
16      35191908    16      9.10    
17      36345185    17      9.40    
18      38415380    18      9.94    
19      40112959    19      10.38   
20      42588707    20      11.02   
21      43248485    21      11.19   
22      45438373    22      11.76   
23      47003532    23      12.16   
24      48616441    24      12.58   
25      49934466    25      12.92   
26      51777934    26      13.40   
27      52333540    27      13.54   
28      54195035    28      14.02   
29      54229534    29      14.03   
30      57539872    30      14.89   
31      57509086    31      14.88   
32      59819301    32      15.48   
33      61029631    33      15.79   
34      61374018    34      15.88   
35      61836724    35      16.00   
36      63547125    36      16.44   
37      64250428    37      16.62   
38      66390241    38      17.18   
39      66828018    39      17.29   
40      66363745    40      17.17   
41      67916453    41      17.57   
42      67335192    42      17.42   
43      68603914    43      17.75   
44      65194061    44      16.87   
45      69601993    45      18.01   
46      69601361    46      18.01   
47      61726277    47      15.97   
48      44088946    48      11.41   
