#cores  throughput  linear  actual
1       7478        1       1       
2       15357       2       2.05    
3       22343       3       2.99    
4       28211       4       3.77    
5       34537       5       4.62    
6       42466       6       5.68    
7       48739       7       6.52    
8       56088       8       7.50    
9       62885       9       8.41    
10      68471       10      9.16    
11      73110       11      9.78    
12      76995       12      10.30   
13      82991       13      11.10   
14      89471       14      11.96   
15      93096       15      12.45   
16      96966       16      12.97   
17      101343      17      13.55   
18      107902      18      14.43   
19      109843      19      14.69   
20      114360      20      15.29   
21      120055      21      16.05   
22      125535      22      16.79   
23      128474      23      17.18   
24      131654      24      17.61   
25      134507      25      17.99   
26      137080      26      18.33   
27      141347      27      18.90   
28      145893      28      19.51   
29      147631      29      19.74   
30      150722      30      20.16   
31      152617      31      20.41   
32      156868      32      20.98   
33      159775      33      21.37   
34      163099      34      21.81   
35      168030      35      22.47   
36      167840      36      22.44   
37      178812      37      23.91   
38      173199      38      23.16   
39      176517      39      23.60   
40      180348      40      24.12   
41      186373      41      24.92   
42      184928      42      24.73   
43      191124      43      25.56   
44      189525      44      25.34   
45      194797      45      26.05   
46      195415      46      26.13   
47      195983      47      26.21   
48      203186      48      27.17   
