#cores  throughput  linear  actual
1       5037102     1       1       
2       5727690     2       1.14    
3       8523219     3       1.69    
4       9097451     4       1.81    
5       11260286    5       2.24    
6       12754319    6       2.53    
7       14978726    7       2.97    
8       15957548    8       3.17    
9       18769407    9       3.73    
10      18962073    10      3.76    
11      22358318    11      4.44    
12      21700331    12      4.31    
13      24975269    13      4.96    
14      24693821    14      4.90    
15      27625464    15      5.48    
16      27258641    16      5.41    
17      30443687    17      6.04    
18      29241058    18      5.81    
19      33702766    19      6.69    
20      30834774    20      6.12    
21      34445981    21      6.84    
22      34300788    22      6.81    
23      37717437    23      7.49    
24      36535915    24      7.25    
25      40017986    25      7.94    
26      37623179    26      7.47    
27      42158256    27      8.37    
28      39672473    28      7.88    
29      34452453    29      6.84    
30      39589938    30      7.86    
31      42111410    31      8.36    
32      41992381    32      8.34    
33      45649725    33      9.06    
34      42898750    34      8.52    
35      46083262    35      9.15    
36      45255945    36      8.98    
37      47076198    37      9.35    
38      38411589    38      7.63    
39      46020833    39      9.14    
40      38238719    40      7.59    
41      45384973    41      9.01    
42      40343591    42      8.01    
43      37131121    43      7.37    
44      26311907    44      5.22    
45      20673166    45      4.10    
46      40645286    46      8.07    
47      43360517    47      8.61    
48      41271025    48      8.19    
