#cores  throughput  linear  actual
1       5445631     1       1       
2       4916809     2       0.90    
3       6906950     3       1.27    
4       7461650     4       1.37    
5       9193879     5       1.69    
6       10286654    6       1.89    
7       12133918    7       2.23    
8       12827842    8       2.36    
9       14587163    9       2.68    
10      14999789    10      2.75    
11      17004636    11      3.12    
12      17360240    12      3.19    
13      19220913    13      3.53    
14      19062663    14      3.50    
15      20884154    15      3.84    
16      21188480    16      3.89    
17      23499236    17      4.32    
18      23180919    18      4.26    
19      25453353    19      4.67    
20      25102856    20      4.61    
21      26980320    21      4.95    
22      26155974    22      4.80    
23      28353203    23      5.21    
24      25961386    24      4.77    
25      30021113    25      5.51    
26      29971616    26      5.50    
27      31066919    27      5.70    
28      29344414    28      5.39    
29      31321650    29      5.75    
30      25666578    30      4.71    
31      33568568    31      6.16    
32      31283103    32      5.74    
33      34607379    33      6.36    
34      32244841    34      5.92    
35      33446452    35      6.14    
36      33359792    36      6.13    
37      29463026    37      5.41    
38      31429976    38      5.77    
39      31514405    39      5.79    
40      32938618    40      6.05    
41      32998289    41      6.06    
42      17786127    42      3.27    
43      33464199    43      6.15    
44      24716922    44      4.54    
45      25847285    45      4.75    
46      26442456    46      4.86    
47      23706500    47      4.35    
48      21704561    48      3.99    
