#cores  throughput  linear  actual
1       5006712     1       1       
2       8107702     2       1.62    
3       9642921     3       1.93    
4       12137854    4       2.42    
5       13533404    5       2.70    
6       15487069    6       3.09    
7       17569724    7       3.51    
8       18613220    8       3.72    
9       20468964    9       4.09    
10      21891615    10      4.37    
11      22683792    11      4.53    
12      24110495    12      4.82    
13      24990145    13      4.99    
14      26299221    14      5.25    
15      27472182    15      5.49    
16      28468592    16      5.69    
17      29478750    17      5.89    
18      30160783    18      6.02    
19      31418431    19      6.28    
20      32326092    20      6.46    
21      32597108    21      6.51    
22      33227995    22      6.64    
23      34214252    23      6.83    
24      35244127    24      7.04    
25      36205756    25      7.23    
26      36713557    26      7.33    
27      37263497    27      7.44    
28      37442410    28      7.48    
29      38819389    29      7.75    
30      38808164    30      7.75    
31      39633213    31      7.92    
32      39984082    32      7.99    
33      40653664    33      8.12    
34      39634664    34      7.92    
35      41777841    35      8.34    
36      42015725    36      8.39    
37      42004356    37      8.39    
38      44068735    38      8.80    
39      44614404    39      8.91    
40      44671749    40      8.92    
41      45479268    41      9.08    
42      44595234    42      8.91    
43      46186928    43      9.23    
44      44184459    44      8.83    
45      41897443    45      8.37    
46      43193136    46      8.63    
47      42216278    47      8.43    
48      44865169    48      8.96    
