#cores  throughput  linear  actual
1       4668875     1       1       
2       7021843     2       1.50    
3       8390374     3       1.80    
4       10457584    4       2.24    
5       12012874    5       2.57    
6       13889778    6       2.97    
7       15663861    7       3.35    
8       17122905    8       3.67    
9       19081667    9       4.09    
10      20925015    10      4.48    
11      22372580    11      4.79    
12      23870320    12      5.11    
13      25513717    13      5.46    
14      27113515    14      5.81    
15      28344601    15      6.07    
16      29693773    16      6.36    
17      31287251    17      6.70    
18      32098558    18      6.88    
19      33480895    19      7.17    
20      34937655    20      7.48    
21      34810430    21      7.46    
22      35016532    22      7.50    
23      38066636    23      8.15    
24      38839862    24      8.32    
25      39892754    25      8.54    
26      39878889    26      8.54    
27      40807561    27      8.74    
28      41990197    28      8.99    
29      41989602    29      8.99    
30      38155007    30      8.17    
31      39159488    31      8.39    
32      43532921    32      9.32    
33      44593266    33      9.55    
34      42282988    34      9.06    
35      46023444    35      9.86    
36      38403335    36      8.23    
37      40972058    37      8.78    
38      44479803    38      9.53    
39      42109864    39      9.02    
40      36279881    40      7.77    
41      31841705    41      6.82    
42      37120999    42      7.95    
43      27863030    43      5.97    
44      27844768    44      5.96    
45      25970316    45      5.56    
46      25928509    46      5.55    
47      25600461    47      5.48    
48      25818041    48      5.53    
