#cores  throughput  linear  actual
1       7896803     1       1       
2       11881270    2       1.50    
3       12898832    3       1.63    
4       16149987    4       2.05    
5       17657819    5       2.24    
6       20569681    6       2.60    
7       23023722    7       2.92    
8       24484339    8       3.10    
9       26363777    9       3.34    
10      28563049    10      3.62    
11      29742262    11      3.77    
12      31762340    12      4.02    
13      32963708    13      4.17    
14      34366483    14      4.35    
15      36348460    15      4.60    
16      37372037    16      4.73    
17      39383747    17      4.99    
18      40754289    18      5.16    
19      41176530    19      5.21    
20      43502617    20      5.51    
21      44112606    21      5.59    
22      45294585    22      5.74    
23      46964003    23      5.95    
24      47637730    24      6.03    
25      49276074    25      6.24    
26      50172635    26      6.35    
27      50615329    27      6.41    
28      51731722    28      6.55    
29      53088611    29      6.72    
30      54733854    30      6.93    
31      56065739    31      7.10    
32      56074491    32      7.10    
33      57362298    33      7.26    
34      57004126    34      7.22    
35      58466783    35      7.40    
36      59620231    36      7.55    
37      60784711    37      7.70    
38      57108138    38      7.23    
39      60083932    39      7.61    
40      57898483    40      7.33    
41      59216176    41      7.50    
42      61465284    42      7.78    
43      61935457    43      7.84    
44      61681387    44      7.81    
45      62201368    45      7.88    
46      65831203    46      8.34    
47      53317980    47      6.75    
48      47068564    48      5.96    
