#cores  throughput  linear  actual
1       969011      1       1       
2       1552496     2       1.60    
3       1900261     3       1.96    
4       2177110     4       2.25    
5       2286957     5       2.36    
6       2232696     6       2.30    
7       2188164     7       2.26    
8       2196308     8       2.27    
9       2172294     9       2.24    
10      2215015     10      2.29    
11      2194963     11      2.27    
12      2207357     12      2.28    
13      2163256     13      2.23    
14      2126981     14      2.20    
15      2097852     15      2.16    
16      2083197     16      2.15    
17      2024887     17      2.09    
18      1986971     18      2.05    
19      1963729     19      2.03    
20      1949455     20      2.01    
21      1923365     21      1.98    
22      1898087     22      1.96    
23      1886346     23      1.95    
24      1840959     24      1.90    
25      1842521     25      1.90    
26      1800431     26      1.86    
27      1791232     27      1.85    
28      1750800     28      1.81    
29      1763881     29      1.82    
30      1740818     30      1.80    
31      1722876     31      1.78    
32      1702021     32      1.76    
33      1667949     33      1.72    
34      1677406     34      1.73    
35      1639258     35      1.69    
36      1602924     36      1.65    
37      1638926     37      1.69    
38      1570948     38      1.62    
39      1502213     39      1.55    
40      1486267     40      1.53    
41      1419059     41      1.46    
42      1387680     42      1.43    
43      1430074     43      1.48    
44      1363850     44      1.41    
45      1337734     45      1.38    
46      1388767     46      1.43    
47      1292669     47      1.33    
48      1261305     48      1.30    
