#cores  throughput  linear  actual
1       1567171     1       1       
2       2149404     2       1.37    
3       2325990     3       1.48    
4       2417042     4       1.54    
5       2312467     5       1.48    
6       2211805     6       1.41    
7       2177443     7       1.39    
8       2224843     8       1.42    
9       2214287     9       1.41    
10      2231364     10      1.42    
11      2232944     11      1.42    
12      2229105     12      1.42    
13      2208548     13      1.41    
14      2165996     14      1.38    
15      2112360     15      1.35    
16      2090375     16      1.33    
17      2042188     17      1.30    
18      2038497     18      1.30    
19      1974993     19      1.26    
20      1935022     20      1.23    
21      1917659     21      1.22    
22      1905621     22      1.22    
23      1912323     23      1.22    
24      1859688     24      1.19    
25      1815265     25      1.16    
26      1797661     26      1.15    
27      1816070     27      1.16    
28      1779728     28      1.14    
29      1780903     29      1.14    
30      1802215     30      1.15    
31      1732952     31      1.11    
32      1751667     32      1.12    
33      1734152     33      1.11    
34      1650335     34      1.05    
35      1681337     35      1.07    
36      1649279     36      1.05    
37      1604654     37      1.02    
38      1577587     38      1.01    
39      1494834     39      0.95    
40      1470906     40      0.94    
41      1426851     41      0.91    
42      1538615     42      0.98    
43      1391900     43      0.89    
44      1384684     44      0.88    
45      1438726     45      0.92    
46      1354938     46      0.86    
47      1326547     47      0.85    
48      1726422     48      1.10    
