#cores  throughput  linear  actual
1       1568447     1       1       
2       2896251     2       1.85    
3       3932792     3       2.51    
4       5059918     4       3.23    
5       5811270     5       3.71    
6       6583237     6       4.20    
7       6947818     7       4.43    
8       7598955     8       4.84    
9       8233564     9       5.25    
10      8661538     10      5.52    
11      9266907     11      5.91    
12      10171391    12      6.49    
13      11276371    13      7.19    
14      10941732    14      6.98    
15      11341743    15      7.23    
16      11773053    16      7.51    
17      12298331    17      7.84    
18      13055839    18      8.32    
19      13684232    19      8.72    
20      13409818    20      8.55    
21      14279249    21      9.10    
22      14804854    22      9.44    
23      14850066    23      9.47    
24      15036814    24      9.59    
25      15243768    25      9.72    
26      15734081    26      10.03   
27      16389891    27      10.45   
28      16262902    28      10.37   
29      16526251    29      10.54   
30      17069022    30      10.88   
31      16732112    31      10.67   
32      17630957    32      11.24   
33      17537734    33      11.18   
34      17757570    34      11.32   
35      16785792    35      10.70   
36      18010870    36      11.48   
37      18164010    37      11.58   
38      18650109    38      11.89   
39      18208798    39      11.61   
40      19240107    40      12.27   
41      19058470    41      12.15   
42      18609841    42      11.87   
43      19521246    43      12.45   
44      19838121    44      12.65   
45      18646507    45      11.89   
46      19371585    46      12.35   
47      18623338    47      11.87   
48      19873292    48      12.67   
