#cores  throughput  linear  actual
1       3686525     1       1       
2       5659856     2       1.54    
3       6891901     3       1.87    
4       8365153     4       2.27    
5       9439402     5       2.56    
6       10861778    6       2.95    
7       12216898    7       3.31    
8       12934176    8       3.51    
9       14174081    9       3.84    
10      15339334    10      4.16    
11      15746462    11      4.27    
12      17065271    12      4.63    
13      17839860    13      4.84    
14      18713167    14      5.08    
15      19505453    15      5.29    
16      20403703    16      5.53    
17      21220769    17      5.76    
18      21784244    18      5.91    
19      22234885    19      6.03    
20      23357896    20      6.34    
21      23483067    21      6.37    
22      24706637    22      6.70    
23      25330618    23      6.87    
24      25507984    24      6.92    
25      25895359    25      7.02    
26      27363040    26      7.42    
27      27424529    27      7.44    
28      28149025    28      7.64    
29      28229125    29      7.66    
30      28988415    30      7.86    
31      29212838    31      7.92    
32      29381183    32      7.97    
33      28768013    33      7.80    
34      29897851    34      8.11    
35      30584235    35      8.30    
36      30497283    36      8.27    
37      31399983    37      8.52    
38      32283788    38      8.76    
39      32635828    39      8.85    
40      32494839    40      8.81    
41      32876768    41      8.92    
42      33971050    42      9.21    
43      33928486    43      9.20    
44      32103993    44      8.71    
45      34513063    45      9.36    
46      27219518    46      7.38    
47      30089670    47      8.16    
48      26316664    48      7.14    
