#cores  throughput  linear  actual
1       1054276     1       1       
2       1832475     2       1.74    
3       2372029     3       2.25    
4       3025495     4       2.87    
5       3466820     5       3.29    
6       3836323     6       3.64    
7       4120681     7       3.91    
8       4265924     8       4.05    
9       4281666     9       4.06    
10      4315152     10      4.09    
11      4313542     11      4.09    
12      4295542     12      4.07    
13      4379446     13      4.15    
14      4330798     14      4.11    
15      4275741     15      4.06    
16      4248989     16      4.03    
17      4222445     17      4.01    
18      4162625     18      3.95    
19      4070032     19      3.86    
20      4053205     20      3.84    
21      3990685     21      3.79    
22      3925202     22      3.72    
23      3852541     23      3.65    
24      3778845     24      3.58    
25      3781828     25      3.59    
26      3734115     26      3.54    
27      3711195     27      3.52    
28      3694555     28      3.50    
29      3574177     29      3.39    
30      3535572     30      3.35    
31      3601219     31      3.42    
32      3536973     32      3.35    
33      3510182     33      3.33    
34      3430833     34      3.25    
35      3403681     35      3.23    
36      3335189     36      3.16    
37      3274751     37      3.11    
38      3239291     38      3.07    
39      3195364     39      3.03    
40      3042976     40      2.89    
41      3120418     41      2.96    
42      2949233     42      2.80    
43      2838934     43      2.69    
44      2864472     44      2.72    
45      2759179     45      2.62    
46      2732731     46      2.59    
47      2646142     47      2.51    
48      2604882     48      2.47    
