#cores  throughput  linear  actual
1       1654460     1       1       
2       2762569     2       1.67    
3       3295382     3       1.99    
4       4042077     4       2.44    
5       4332063     5       2.62    
6       4427743     6       2.68    
7       4416037     7       2.67    
8       4429268     8       2.68    
9       4387043     9       2.65    
10      4408477     10      2.66    
11      4423836     11      2.67    
12      4420390     12      2.67    
13      4448192     13      2.69    
14      4368601     14      2.64    
15      4354564     15      2.63    
16      4301815     16      2.60    
17      4255305     17      2.57    
18      4178812     18      2.53    
19      4112293     19      2.49    
20      4048841     20      2.45    
21      4003056     21      2.42    
22      3919195     22      2.37    
23      3857153     23      2.33    
24      3891820     24      2.35    
25      3797914     25      2.30    
26      3732672     26      2.26    
27      3707155     27      2.24    
28      3634473     28      2.20    
29      3605516     29      2.18    
30      3619733     30      2.19    
31      3549705     31      2.15    
32      3600192     32      2.18    
33      3536341     33      2.14    
34      3449594     34      2.09    
35      3476500     35      2.10    
36      3477867     36      2.10    
37      3308938     37      2.00    
38      3400817     38      2.06    
39      3288073     39      1.99    
40      3229235     40      1.95    
41      3008461     41      1.82    
42      2978977     42      1.80    
43      3027110     43      1.83    
44      2906985     44      1.76    
45      2802404     45      1.69    
46      2858210     46      1.73    
47      2873875     47      1.74    
48      2696635     48      1.63    
